# ops request: type='db'
hr                         mmsell10  all_mmsell
-------------------------  --------  ----------
2026-08-27 21:00:00+00:00  0         0         
2026-08-27 22:00:00+00:00  0         0         
2026-08-27 23:00:00+00:00  0         0         
2026-08-28 00:00:00+00:00  0         0         
2026-08-28 01:00:00+00:00  0         0         
2026-08-28 02:00:00+00:00  0         0         
2026-08-28 03:00:00+00:00  0         0         
2026-08-28 04:00:00+00:00  0         0         

(8 rows)
