# ops request: type='db'
market_ticker                         side  action  quantity  limit_price  status   at      
------------------------------------  ----  ------  --------  -----------  -------  --------
KXBTCMAXMON-BTC-26AUG31-8500000       no    buy     1         93           filled   14:46:26
KXBTCD-26AUG2817-T80999.99            no    buy     1         94           filled   14:46:29
KXTRUMPSAYMONTH-26SEP01-NINE          no    buy     1         93           resting  14:46:35
KXU3-26AUG-T4.3                       no    buy     1         94           resting  14:46:39
KXTRUMPSAYCOMPANY-26SEP01-VERI        no    buy     1         94           resting  14:46:40
KXLALIGASCORE-26AUG28ALAVIL-ALA0VIL0  no    buy     1         94           resting  14:46:45
KXLALIGASCORE-26AUG28ALAVIL-ALA0VIL2  no    buy     1         93           resting  14:46:46
KXLALIGASCORE-26AUG28ALAVIL-ALA1VIL0  no    buy     1         93           resting  14:46:46
KXLALIGASCORE-26AUG28ALAVIL-ALA2VIL1  no    buy     1         93           resting  14:46:47
KXLALIGASCORE-26AUG28ALAVIL-ALA2VIL2  no    buy     1         94           resting  14:46:48
KXNCAAFSPREAD-26AUG29UNCTCU-UNC10     no    buy     1         93           resting  14:46:53
KXNCAAFSPREAD-26AUG29UNCTCU-UNC11     no    buy     1         93           resting  14:46:54
KXTRUMPSAY-26AUG31-PRED               no    buy     1         94           resting  14:46:57
KXTRUMPSAY-26AUG31-MARI               no    buy     1         94           resting  14:46:58
KXTRUMPSAY-26AUG31-STUP               no    buy     1         93           resting  14:46:59
KXBRENTMON-26AUG3117-T92.99           no    buy     1         93           resting  14:47:03
KXNETFLIXRANKSHOW-26AUG31-BEA         no    buy     1         93           resting  14:47:08
KXYTVIEWSHIGH-TAY26SEP-16.2M          no    buy     1         94           resting  14:47:09
KXWNBAGAME-26AUG28CONNIND-CONN        no    buy     1         93           resting  14:47:13
KXEPLSCORE-26AUG28CRYMCI-CRY0MCI3     no    buy     1         93           resting  14:47:15

(20 rows)
