# ops request: type='db'
series           rejected  filled  attempts  pct_rejected
---------------  --------  ------  --------  ------------
KXMLBHR          22        0       22        100.0       
KXMLBTOTAL       20        0       20        100.0       
KXMLBSPREAD      12        0       12        100.0       
KXBTCD           5         1       6         83.3        
KXITFWMATCH      4         0       4         100.0       
KXITFMATCH       3         0       3         100.0       
KXCS2GAME        0         3       3         0.0         
KXEPLTOTAL       0         4       5         0.0         
KXYTVIEWSHIGH    0         1       4         0.0         
KXWNBATOTAL      0         2       3         0.0         
KXLALIGAGAME     0         0       7         0.0         
KXTRUMPSAYMONTH  0         1       8         0.0         
KXNCAAFSPREAD    0         13      25        0.0         
KXNFLSPREAD      0         4       18        0.0         
KXNCAAFTOTAL     0         8       11        0.0         
KXTRUMPSAY       0         1       6         0.0         
KXNCAAFGAME      0         3       3         0.0         
KXWNBAGAME       0         1       3         0.0         
KXLALIGASCORE    0         7       14        0.0         
KXNFLTOTAL       0         2       6         0.0         
KXBRENTMON       0         1       3         0.0         
KXEPLSPREAD      0         1       3         0.0         
KXINDYCARRACE    0         0       5         0.0         

(23 rows)
