# ops request: type='db'
hr                         rejected  filled  total
-------------------------  --------  ------  -----
2026-08-28 14:00:00+00:00  0         8       20   
2026-08-28 18:00:00+00:00  3         6       13   
2026-08-28 19:00:00+00:00  1         1       3    
2026-08-28 21:00:00+00:00  1         1       6    
2026-08-28 22:00:00+00:00  4         2       9    
2026-08-28 23:00:00+00:00  4         2       9    
2026-08-29 01:00:00+00:00  5         2       10   
2026-08-29 02:00:00+00:00  5         2       14   
2026-08-29 03:00:00+00:00  3         4       12   
2026-08-29 04:00:00+00:00  0         2       2    
2026-08-29 05:00:00+00:00  1         0       4    
2026-08-29 06:00:00+00:00  0         0       1    
2026-08-29 07:00:00+00:00  1         0       3    
2026-08-29 08:00:00+00:00  1         2       3    
2026-08-29 09:00:00+00:00  1         1       4    
2026-08-29 10:00:00+00:00  1         1       2    
2026-08-29 11:00:00+00:00  1         4       8    
2026-08-29 13:00:00+00:00  0         2       3    
2026-08-29 14:00:00+00:00  0         2       4    
2026-08-29 15:00:00+00:00  0         1       2    
2026-08-29 16:00:00+00:00  5         3       9    
2026-08-29 17:00:00+00:00  0         1       3    
2026-08-29 18:00:00+00:00  2         0       4    
2026-08-29 19:00:00+00:00  8         2       11   
2026-08-29 20:00:00+00:00  3         5       9    
2026-08-29 21:00:00+00:00  3         0       5    
2026-08-29 22:00:00+00:00  3         1       8    
2026-08-29 23:00:00+00:00  1         1       2    
2026-08-30 01:00:00+00:00  0         5       5    
2026-08-30 02:00:00+00:00  3         5       9    
2026-08-30 03:00:00+00:00  6         4       11   
2026-08-30 04:00:00+00:00  8         2       11   
2026-08-30 05:00:00+00:00  0         2       7    
2026-08-30 06:00:00+00:00  0         0       1    
2026-08-30 07:00:00+00:00  1         0       2    
2026-08-30 09:00:00+00:00  1         1       3    
2026-08-30 10:00:00+00:00  0         1       4    
2026-08-30 11:00:00+00:00  0         2       4    
2026-08-30 12:00:00+00:00  0         1       1    
2026-08-30 13:00:00+00:00  0         0       2    
2026-08-30 14:00:00+00:00  0         1       3    

(41 rows)
