# ops request: type='db'
strategy   rows  last_row                        
---------  ----  --------------------------------
mmsell     73    2026-08-28 13:35:21.897036+00:00
mmsell6    33    2026-08-28 13:30:54.117985+00:00
mmsell10   27    2026-08-28 13:30:49.617712+00:00
Lmmsell10  27    2026-08-28 13:30:49.701407+00:00
mmsellA4   26    2026-08-28 13:30:49.634891+00:00
Tmmsell6   13    2026-08-28 13:30:53.672140+00:00
mmsell5    12    2026-08-28 13:30:30.358881+00:00
mmsellA5   12    2026-08-28 13:30:31.550967+00:00
Tmmsell5   9     2026-08-28 13:30:53.654463+00:00
mmsell7    8     2026-08-28 13:30:49.598947+00:00
Tmmsell2   4     2026-08-28 13:30:44.801058+00:00
theta4     4     2026-08-28 13:31:48.512765+00:00
mmsell9    4     2026-08-28 13:26:41.977415+00:00
Tmmsell1   3     2026-08-28 13:30:53.643017+00:00

(14 rows)
