# ops request [READ]
# type=db  id=dead-ev-1
# code ce1215a40dc8d607316bd35d83d39e6b5f52e6b5 · started 2026-09-11T15:18:56Z
strategy   n     first_at                          last_at                           with_lineage  since_retire_sweep
---------  ----  --------------------------------  --------------------------------  ------------  ------------------
Gmmsell0   1117  2026-09-06 02:41:17.401219+00:00  2026-09-11 15:09:30.427321+00:00  1117          830               
Lmmsell10  3559  2026-08-15 12:51:28.923088+00:00  2026-09-06 20:32:09.283371+00:00  3237          0                 
Lmmsell8   108   2026-08-15 12:51:30.726220+00:00  2026-09-06 08:48:21.713607+00:00  99            0                 
mmsell10   6265  2026-07-19 13:28:22.283978+00:00  2026-09-11 15:09:30.233806+00:00  4068          822               
mmsell9    1995  2026-07-19 19:10:30.720103+00:00  2026-09-02 00:56:31.979599+00:00  1035          0                 
mmsellA4   3728  2026-07-30 17:11:58.855408+00:00  2026-09-06 13:19:50.346686+00:00  2254          0                 
mmsellA5   3307  2026-08-03 15:51:16.041642+00:00  2026-09-06 13:19:50.363465+00:00  1742          0                 

(7 rows)
