# ops request [READ]
# type=script  id=desk-20260924-tmrw1
# code d2bc71b3c99d36b5590cae4b1cb227a38daf48c6 · started 2026-09-24T16:29:45Z
# desk board — 2026-09-24T16:29:45+00:00 — events scanned 8000, markets kept 65, shown 65
# filters: hours<=40.0 min_volume>=300 category~'' series^'' search~'' max_spread=None
# prices in cents; 'fee' = taker fee (cents) for ONE contract bought at the yes ask;
# a maker order pays ~0. break-even win% = (ask + fee) for YES, (no_ask + fee) for NO.
ticker                           close yes b/a   spr  fee    vol24        oi category       title
KXDIESELD-26SEP25-T6.555           13h   0/  1 sp  1 f  1 v   3551 oi   2616 Economics      Diesel prices tomorrow | Above $6.555
KXYTTOPVIDEOG2D-26SEP24-YEH        11h   3/ 39 sp 36 f  2 v   2938 oi   1559 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Yeh Prem
KXDIESELD-26SEP25-T6.545           13h   0/  1 sp  1 f  1 v   2803 oi   2603 Economics      Diesel prices tomorrow | Above $6.545
KXDIESELD-26SEP25-T6.515           13h   3/  8 sp  5 f  1 v   2597 oi   2397 Economics      Diesel prices tomorrow | Above $6.515
KXACTBLUETOP-26SEP25-JTAL          21h  93/ 96 sp  3 f  1 v   2368 oi   6865 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | James Talari
KXACTBLUETOP-26SEP25-TJAC          21h   1/  2 sp  1 f  1 v   2221 oi   1793 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Troy Jackson
KXACTBLUETOP-26SEP25-ANIX          21h   0/  1 sp  1 f  1 v   2047 oi   4317 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Angie Nixon
KXDIESELD-26SEP25-T6.565           13h   0/  5 sp  5 f  1 v   1840 oi   1840 Economics      Diesel prices tomorrow | Above $6.565
KXYTTOPVIDEO2D-26SEP24-GOL         11h   0/ 95 sp 95 f  1 v   1811 oi   1711 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | Golden
KXYTTOPVIDEO2D-26SEP24-BLO         11h   0/ 95 sp 95 f  1 v   1701 oi   1701 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | BloodHound 
KXYTTOPVIDEO2D-26SEP24-KAT         11h   0/ 95 sp 95 f  1 v   1701 oi   1701 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | KATSEYE (캣츠
KXYTTOPVIDEO2D-26SEP24-KATS        11h   0/ 95 sp 95 f  1 v   1701 oi   1701 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | KATSEYE (캣츠
KXYTTOPVIDEO2D-26SEP24-WTF         11h   0/ 57 sp 57 f  2 v   1701 oi   1701 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | WTF GOIN
KXYTTOPVIDEO2D-26SEP24-SEP         11h   0/  1 sp  1 f  1 v   1700 oi   1700 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | September
KXYTTOPVIDEO2D-26SEP24-BBY         11h   0/ 55 sp 55 f  2 v   1700 oi   1700 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | BbY WOW
KXGPT-ASTRA61-26SEP25              11h   2/  7 sp  5 f  1 v   1681 oi   1307 Science and Te When will OpenAI release Astra 6.1? | Before Sep 25, 2026
KXTXERCOTPEAKD-26SEP25-T82500      12h  61/ 73 sp 12 f  2 v   1548 oi   1025 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 82,500 MW
KXYTTOPVIDEO2D-26SEP24-LOR         11h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | Lord Verity
KXDIESELD-26SEP25-T6.520           13h   3/ 17 sp 14 f  1 v   1220 oi   1000 Economics      Diesel prices tomorrow | Above $6.520
KXDIESELD-26SEP25-T6.560           13h   0/  2 sp  2 f  1 v   1218 oi   1218 Economics      Diesel prices tomorrow | Above $6.560
KXYTTOPVIDEOG2D-26SEP24-NEW        11h   0/  3 sp  3 f  1 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | new tric
KXYTTOPVIDEOG2D-26SEP24-BAS        11h   0/ 60 sp 60 f  2 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Basinga 
KXYTTOPVIDEOG2D-26SEP24-GOL        11h   0/  3 sp  3 f  1 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Golden
KXDIESELD-26SEP25-T6.550           13h   0/  5 sp  5 f  1 v   1200 oi   1200 Economics      Diesel prices tomorrow | Above $6.550
KXDIESELD-26SEP25-T6.505           13h   6/ 72 sp 66 f  2 v   1165 oi   1128 Economics      Diesel prices tomorrow | Above $6.505
KXTXERCOTPEAKD-26SEP25-T86000      12h   0/  5 sp  5 f  1 v   1100 oi   1100 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 86,000 MW
KXTXERCOTPEAKD-26SEP25-T86500      12h   0/  4 sp  4 f  1 v   1100 oi   1100 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 86,500 MW
KXDIESELD-26SEP25-T6.470           13h  87/100 sp 13 f  0 v   1096 oi   1096 Economics      Diesel prices tomorrow | Above $6.470
KXDIESELD-26SEP25-T6.475           13h  89/100 sp 11 f  0 v   1086 oi   1086 Economics      Diesel prices tomorrow | Above $6.475
KXDIESELD-26SEP25-T6.465           13h  87/100 sp 13 f  0 v   1014 oi   1014 Economics      Diesel prices tomorrow | Above $6.465
KXYTTOPVIDEOG2D-26SEP24-ZID        11h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Zid
KXYTTOPVIDEOG2D-26SEP24-BAR        11h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Barsaat
KXYTTOPVIDEOG2D-26SEP24-TRA        11h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Training
KXYTTOPVIDEOG2D-26SEP24-SAW        11h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | SaWaDiKa
KXYTTOPVIDEOG2D-26SEP24-SHA        11h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Shararat
KXDIESELD-26SEP25-T6.535           13h   1/  2 sp  1 f  1 v    800 oi    800 Economics      Diesel prices tomorrow | Above $6.535
KXDIESELD-26SEP25-T6.480           13h  93/ 98 sp  5 f  1 v    700 oi    700 Economics      Diesel prices tomorrow | Above $6.480
KXDIESELD-26SEP25-T6.490           13h  37/ 84 sp 47 f  1 v    531 oi    131 Economics      Diesel prices tomorrow | Above $6.490
KXDIESELD-26SEP25-T6.485           13h  82/ 98 sp 16 f  1 v    504 oi    504 Economics      Diesel prices tomorrow | Above $6.485
KXACTBLUETOP-26SEP25-JOSS          21h   2/  3 sp  1 f  1 v    465 oi   2050 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Jon Ossoff
KXDIESELD-26SEP25-T6.495           13h  10/ 72 sp 62 f  2 v    449 oi    406 Economics      Diesel prices tomorrow | Above $6.495
KXDIESELD-26SEP25-T6.525           13h   2/  3 sp  1 f  1 v    417 oi    417 Economics      Diesel prices tomorrow | Above $6.525
KXDIESELD-26SEP25-T6.530           13h   2/ 23 sp 21 f  2 v    417 oi    417 Economics      Diesel prices tomorrow | Above $6.530
KXTXERCOTPEAKD-26SEP25-T85000      12h   3/  4 sp  1 f  1 v    361 oi    361 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 85,000 MW
KXTXERCOTPEAKD-26SEP25-T84500      12h   3/  9 sp  6 f  1 v    302 oi    302 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 84,500 MW
KXACTBLUETOP-26SEP25-AELS          21h   3/  4 sp  1 f  1 v    209 oi   1795 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Abdul El-Say
KXACTBLUETOP-26SEP25-SBRO          21h   1/  2 sp  1 f  1 v    208 oi   1794 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Sherrod Brow
KXUE-MEX26AUG-2.7                  19h  88/ 90 sp  2 f  1 v     99 oi    438 Economics      Mexico unemployment rate in August | Above 2.7%
KXCHICKENWINGM-26SEP25-T110        26h  81/ 98 sp 17 f  1 v     90 oi   1411 Economics      Chicken wing · Average US wholesale price in September | Above 110¢ pe
KXCHICKENWINGM-26SEP25-T115        26h   5/  8 sp  3 f  1 v     84 oi   2241 Economics      Chicken wing · Average US wholesale price in September | Above 115¢ pe
KXCHICKENWINGM-26SEP25-T125        26h   1/  7 sp  6 f  1 v     18 oi   3414 Economics      Chicken wing · Average US wholesale price in September | Above 125¢ pe
KXCHICKENWINGM-26SEP25-T120        26h   0/  8 sp  8 f  1 v     17 oi   1800 Economics      Chicken wing · Average US wholesale price in September | Above 120¢ pe
KXTRUMPAICZARWHEN-26-26SEP25       11h   4/  9 sp  5 f  1 v      1 oi   1364 Politics       When will Trump name an AI czar? | Before Sep 25, 2026
KXCHICKENWINGM-26SEP25-T105        26h  89/ 96 sp  7 f  1 v      1 oi   1459 Economics      Chicken wing · Average US wholesale price in September | Above 105¢ pe
