# ops request [READ]
# type=script  id=desk-c1-main
# actor=claude-desk  purpose=catchup board read 2026-09-24
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T03:06:44Z
# desk board — 2026-09-24T03:06:44+00:00 — events scanned 8000, markets kept 94, shown 70
# filters: hours<=96.0 min_volume>=300 category~'' series^'' search~'' max_spread=None
# prices in cents; 'fee' = taker fee (cents) for ONE contract bought at the yes ask;
# a maker order pays ~0. break-even win% = (ask + fee) for YES, (no_ask + fee) for NO.
ticker                           close yes b/a   spr  fee    vol24        oi category       title
KXYTTOPVIDEO2D-26SEP23-SUN          1h   0/  1 sp  1 f  1 v   2467 oi   2467 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | Sunflower
KXYTDAILYTOPVIDEOG-26SEP23-BARB     1h   0/ 95 sp 95 f  1 v   2300 oi   2300 Entertainment  Top Daily Music Video Global on YouTube: Sep 23, 2026 | Barbaadi
KXYTDAILYTOPVIDEOG-26SEP23-PAR      1h   0/  2 sp  2 f  1 v   1763 oi    913 Entertainment  Top Daily Music Video Global on YouTube: Sep 23, 2026 | Parvati
KXYTTOPVIDEO2D-26SEP23-JOS          1h   0/ 70 sp 70 f  2 v   1519 oi   1519 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | Joseph
KXYTTOPVIDEO2D-26SEP24-SEP         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | September
KXYTTOPVIDEO2D-26SEP24-GOL         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | Golden
KXYTTOPVIDEO2D-26SEP24-LOR         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | Lord Verity
KXYTTOPVIDEO2D-26SEP24-BLO         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | BloodHound 
KXYTTOPVIDEO2D-26SEP24-KAT         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | KATSEYE (캣츠
KXYTTOPVIDEO2D-26SEP24-KATS        25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | KATSEYE (캣츠
KXYTTOPVIDEO2D-26SEP24-BBY         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | BbY WOW
KXYTTOPVIDEO2D-26SEP24-WTF         25h   0/ 95 sp 95 f  1 v   1500 oi   1500 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 24, 2026 | WTF GOIN
KXTRUMPAICZARWHEN-26-26SEP25       25h   4/  6 sp  2 f  1 v   1414 oi   1364 Politics       When will Trump name an AI czar? | Before Sep 25, 2026
KXYTDAILYTOPVIDEOG-26SEP23-SAW      1h   0/  2 sp  2 f  1 v   1300 oi   1300 Entertainment  Top Daily Music Video Global on YouTube: Sep 23, 2026 | SaWaDiKa (Offi
KXYTDAILYTOPVIDEOG-26SEP23-TRA      1h   0/ 95 sp 95 f  1 v   1300 oi   1300 Entertainment  Top Daily Music Video Global on YouTube: Sep 23, 2026 | Training Seaso
KXYTTOPVIDEO2D-26SEP23-BLO          1h   0/  2 sp  2 f  1 v   1240 oi   2240 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | BloodHound 
KXYTTOPVIDEOG2D-26SEP23-BAR         1h   0/  2 sp  2 f  1 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | Barsaat
KXYTTOPVIDEOG2D-26SEP24-NEW        25h   0/  3 sp  3 f  1 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | new tric
KXYTTOPVIDEOG2D-26SEP24-GOL        25h   0/  3 sp  3 f  1 v   1200 oi   1200 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Golden
KXTRUEV-26SEP24-T1184.21           25h  98/100 sp  2 f  0 v   1014 oi   1014 Economics      EV commodity prices on Sep 24, 2026 | Above 1184.21
KXTRUEV-26SEP24-T1194.21           25h  98/100 sp  2 f  0 v   1014 oi   1014 Economics      EV commodity prices on Sep 24, 2026 | Above 1194.21
KXYTTOPVIDEOG2D-26SEP23-KAL         1h   0/  1 sp  1 f  1 v   1000 oi   2621 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | KALYANI 
KXYTTOPVIDEOG2D-26SEP24-ZID        25h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Zid
KXYTTOPVIDEOG2D-26SEP24-BAS        25h   0/ 95 sp 95 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Basinga 
KXYTTOPVIDEOG2D-26SEP24-BAR        25h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Barsaat
KXYTTOPVIDEOG2D-26SEP24-TRA        25h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Training
KXYTTOPVIDEOG2D-26SEP24-SAW        25h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | SaWaDiKa
KXYTTOPVIDEOG2D-26SEP24-SHA        25h   0/  3 sp  3 f  1 v   1000 oi   1000 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 24, 2026 | Shararat
KXTRUEV-26SEP24-T1314.21           25h   0/ 14 sp 14 f  1 v   1000 oi   1000 Economics      EV commodity prices on Sep 24, 2026 | Above 1314.21
KXTRUEV-26SEP24-T1324.21           25h   0/ 14 sp 14 f  1 v   1000 oi   1000 Economics      EV commodity prices on Sep 24, 2026 | Above 1324.21
KXBARRMENTION-26SEP23-AI           45h  99/100 sp  1 f  0 v    722 oi    538 Mentions       What will Fed Gov Barr say during his housing affordability address? |
KXYTTOPVIDEO2D-26SEP23-LET          1h   1/  8 sp  7 f  1 v    604 oi    604 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | Let’s Get M
KXMAMDANIEO-26SEP26-T0             83h   8/  9 sp  1 f  1 v    564 oi   7682 Politics       Will Mamdani sign an executive order this week? (9/20 - 9/26) | Above 
KX30YMORTW-26SEP24-T7.07           13h   2/  3 sp  1 f  1 v    503 oi   1656 Economics      30-year mortgage rate this week | Above 7.07%
KXYTTOPVIDEO2D-26SEP23-TOD          1h   0/  2 sp  2 f  1 v    465 oi   1319 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | Todo Lo Fue
KXYTTOPVIDEOG2D-26SEP23-SAW         1h   0/  3 sp  3 f  1 v    449 oi   2322 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | SaWaDiKa
KXYTTOPVIDEOG2D-26SEP23-XAM         1h   1/  3 sp  2 f  1 v    427 oi    343 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | Xamdam S
KXYTTOPVIDEO2D-26SEP23-KATS         1h   0/ 45 sp 45 f  2 v    414 oi   1414 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | KATSEYE (캣츠
KX30YMORTW-26SEP24-T7.05           13h   3/  4 sp  1 f  1 v    410 oi    843 Economics      30-year mortgage rate this week | Above 7.05%
KXNHSALES-26SEP24-T540000          11h  94/ 98 sp  4 f  1 v    407 oi    492 Economics      US new home sales for August | Above 540,000
KXYTTOPVIDEO2D-26SEP23-NEW          1h   0/ 95 sp 95 f  1 v    403 oi   1403 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | new trick
KXYTTOPVIDEOG2D-26SEP23-YES         1h   2/  6 sp  4 f  1 v    400 oi    400 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | Yeshanag
KX30YMORTW-26SEP24-T7.08           13h   2/  3 sp  1 f  1 v    392 oi   1415 Economics      30-year mortgage rate this week | Above 7.08%
KXNHSALES-26SEP24-T640000          11h  33/ 38 sp  5 f  2 v    366 oi   1189 Economics      US new home sales for August | Above 640,000
KXYTTOPVIDEO2D-26SEP23-AHH          1h   0/  2 sp  2 f  1 v    361 oi   1361 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | AH HA
KXYTTOPVIDEOG2D-26SEP23-TRA         1h   0/  3 sp  3 f  1 v    355 oi   1755 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | Training
KXYTTOPVIDEOG2D-26SEP23-BARB        1h   0/  4 sp  4 f  1 v    355 oi   1755 Entertainment  Runner-Up Daily Music Video Global on YouTube: Sep 23, 2026 | Barbaadi
KX30YMORTW-26SEP24-T6.95           13h  96/ 97 sp  1 f  1 v    352 oi    671 Economics      30-year mortgage rate this week | Above 6.95%
KX30YMORTW-26SEP24-T7.03           13h  20/ 23 sp  3 f  2 v    343 oi    605 Economics      30-year mortgage rate this week | Above 7.03%
KX30YMORTW-26SEP24-T7.02           13h  16/ 31 sp 15 f  2 v    324 oi    692 Economics      30-year mortgage rate this week | Above 7.02%
KXACTBLUETOP-26SEP25-JOSS          35h   2/  3 sp  1 f  1 v    297 oi   1585 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Jon Ossoff
KX30YMORTW-26SEP24-T7.04           13h  16/ 24 sp  8 f  2 v    270 oi    270 Economics      30-year mortgage rate this week | Above 7.04%
KX30YMORTW-26SEP24-T6.98           13h  88/ 89 sp  1 f  1 v    269 oi    782 Economics      30-year mortgage rate this week | Above 6.98%
KXCHICKENWINGM-26SEP25-T115        40h   6/ 13 sp  7 f  1 v    260 oi   2214 Economics      Chicken wing · Average US wholesale price in September | Above 115¢ pe
KX30YMORTW-26SEP24-T7.00           13h  57/ 60 sp  3 f  2 v    248 oi   1286 Economics      30-year mortgage rate this week | Above 7.00%
KXACTBLUETOP-26SEP25-ANIX          35h   1/  2 sp  1 f  1 v    247 oi   2319 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Angie Nixon
KXYTTOPVIDEO2D-26SEP23-GOL          1h   0/ 58 sp 58 f  2 v    240 oi   1240 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | Golden
KXYTTOPVIDEO2D-26SEP23-KAT          1h   0/ 64 sp 64 f  2 v    240 oi   1240 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | KATSEYE (캣츠
KXYTTOPVIDEO2D-26SEP23-WTF          1h   0/  2 sp  2 f  1 v    240 oi   1240 Entertainment  Runner-Up Daily Music Video USA on YouTube: Sep 23, 2026 | WTF GOIN
KXACTBLUETOP-26SEP25-AELS          35h   3/  4 sp  1 f  1 v    237 oi   1585 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Abdul El-Say
KXACTBLUETOP-26SEP25-SBRO          35h   1/  2 sp  1 f  1 v    206 oi   1585 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Sherrod Brow
KX30YMORTW-26SEP24-T6.97           13h  93/ 97 sp  4 f  1 v    194 oi    427 Economics      30-year mortgage rate this week | Above 6.97%
KXUSHOME-26SEP24-T420000           11h   1/  4 sp  3 f  1 v    189 oi    473 Economics      US new home · Median sales price in August | Above $420,000
KX30YMORTW-26SEP24-T6.96           13h  96/ 97 sp  1 f  1 v    160 oi    578 Economics      30-year mortgage rate this week | Above 6.96%
KXCHICKENWINGM-26SEP25-T110        40h  72/ 80 sp  8 f  2 v     80 oi   1427 Economics      Chicken wing · Average US wholesale price in September | Above 110¢ pe
KX30YMORTW-26SEP24-T6.94           13h  96/ 99 sp  3 f  1 v     78 oi    647 Economics      30-year mortgage rate this week | Above 6.94%
KXACTBLUETOP-26SEP25-JTAL          35h  88/ 89 sp  1 f  1 v     50 oi   5209 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | James Talari
KX30YMORTW-26SEP24-T7.06           13h   2/  3 sp  1 f  1 v     20 oi    745 Economics      30-year mortgage rate this week | Above 7.06%
KX30YMORTW-26SEP24-T7.01           13h  42/ 44 sp  2 f  2 v     17 oi    399 Economics      30-year mortgage rate this week | Above 7.01%
KX30YMORTW-26SEP24-T6.99           13h  68/ 73 sp  5 f  2 v     14 oi    224 Economics      30-year mortgage rate this week | Above 6.99%

# by category (kept markets, 24h volume)
  Entertainment                n=46    vol24=39442
  Economics                    n=36    vol24=8928
  Politics                     n=10    vol24=3018
  Mentions                     n=1     vol24=722
  Science and Technology       n=1     vol24=0
