# ops request: type='db'
strategy   universe    n    realized_dollars  avg_dollars  win_pct
---------  ----------  ---  ----------------  -----------  -------
Lmmsell10  crypto      12   -1.34             -0.1117      83.3   
Lmmsell10  non_crypto  261  7.97              0.0305       93.5   
Lmmsell8   crypto      22   -19.24            -0.8745      45.5   
mmsell10   crypto      15   0.42              0.0280       93.3   
mmsell10   non_crypto  68   4.23              0.0622       95.6   
mmsell10a  crypto      23   0.80              0.0348       95.7   
mmsell10a  non_crypto  427  2.24              0.0052       93.0   
mmsell10b  crypto      26   2.02              0.0777       100.0  
mmsell10b  non_crypto  394  -17.20            -0.0436      88.6   

(9 rows)
