# ops request: type='db'
strategy   series                     settled_markets  realized_dollars  avg_dollars
---------  -------------------------  ---------------  ----------------  -----------
Lmmsell8   KXBTCD                     11               -9.72             -0.8836    
Lmmsell8   KXETHD                     6                -6.64             -1.1067    
mmsell10b  KXMLBSPREAD                24               -4.01             -0.1671    
Lmmsell8   KXETHMAXMON                2                -3.76             -1.8800    
mmsell10b  KXMLBHR                    132              -3.69             -0.0280    
mmsell10b  KXNFLSPREAD                10               -3.29             -0.3292    
Lmmsell10  KXATPCHALLENGERMATCH       10               -2.32             -0.2320    
Lmmsell10  KXAPFDDHTOTAL              1                -1.88             -1.8800    
Lmmsell10  KXATPGTOTAL                1                -1.88             -1.8800    
Lmmsell10  KXWNBA4QTOTAL              1                -1.86             -1.8600    
Lmmsell10  KXMLBHR                    32               -1.82             -0.0569    
mmsell10   KXCHNSLGAME                1                -1.82             -1.8200    
mmsell10a  KXBRENTD                   3                -1.81             -0.6033    
Lmmsell10  KXBTCMAXMON                1                -1.80             -1.8000    
Lmmsell10  KXALLSVENSKANGAME          1                -1.80             -1.8000    
Lmmsell10  KXNWSLGAME                 1                -1.80             -1.8000    
mmsell10a  KXSILVERD                  3                -1.73             -0.5767    
Lmmsell10  KXCHAMPTOUR                2                -1.70             -0.8500    
mmsell10b  KXLEAGUESCUPSPREAD         5                -1.65             -0.3300    
mmsell10   KXMLBTOTAL                 3                -1.56             -0.5200    
mmsell10b  KXATPCHALLENGERMATCH       6                -1.52             -0.2527    
mmsell10   KXCLUBFGAME                3                -1.48             -0.4933    
mmsell10b  KXLEAGUESCUPTOTAL          6                -1.47             -0.2450    
Lmmsell10  KXMLBTEAMTOTAL             4                -1.46             -0.3650    
mmsell10b  KXCLUBFGAME                7                -1.45             -0.2071    
mmsell10a  KXWTI                      9                -1.38             -0.1533    
mmsell10b  KXMLBTOTAL                 21               -1.38             -0.0655    
mmsell10a  KXNFLSPREAD                9                -1.11             -0.1239    
Lmmsell10  KXNFLSPREAD                6                -1.10             -0.1825    
Lmmsell10  KXUFCMOV                   7                -1.00             -0.1429    
Lmmsell10  KXBTCD                     4                -0.96             -0.2400    
mmsell10a  KXUSDJPY                   1                -0.94             -0.9400    
mmsell10a  KXMLBTB                    1                -0.94             -0.9400    
mmsell10a  KXNFLRSHYDS                1                -0.93             -0.9300    
mmsell10b  KXARGPREMDIVGAME           1                -0.91             -0.9100    
mmsell10a  KXNWSLTOTAL                1                -0.91             -0.9100    
mmsell10a  KXHUNDREDMATCH             1                -0.90             -0.9000    
mmsell10b  KXTESTMATCH                2                -0.88             -0.4400    
mmsell10b  KXSILVERD                  2                -0.84             -0.4200    
mmsell10b  KXAAAGASD                  2                -0.84             -0.4200    
mmsell10b  KXRT                       2                -0.84             -0.4200    
mmsell10b  KXARGPREMDIVTOTAL          2                -0.81             -0.4050    
mmsell10b  KXLEAGUESCUPGAME           3                -0.81             -0.2700    
mmsell10a  KXALBUMEQUIV               2                -0.81             -0.4050    
mmsell10a  KXGOLDD                    2                -0.80             -0.4000    
mmsell10b  KXMLBF5TOTAL               3                -0.78             -0.2600    
mmsell10b  KXMLBGAME                  3                -0.78             -0.2612    
mmsell10a  KXRT                       3                -0.78             -0.2600    
mmsell10b  KXWTIW                     4                -0.76             -0.1900    
mmsell10a  KXVALORANTGAME             3                -0.71             -0.2367    
mmsell10a  KXWNBATOTAL                4                -0.66             -0.1650    
