# ops request [READ]
# type=db  id=dm10-eventtickers-1
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T11:39:03Z
event_ticker                      series          game_token
--------------------------------  --------------  ----------
KXMLBHR-26SEP021305ATLWSH         KXMLBHR         ATLWSH    
KXMLBTOTAL-26SEP021305ATLWSH      KXMLBTOTAL      ATLWSH    
KXMLBHR-26SEP021510BALCOL         KXMLBHR         BALCOL    
KXMLBSPREAD-26SEP021510BALCOL     KXMLBSPREAD     BALCOL    
KXMLBTOTAL-26SEP021510BALCOL      KXMLBTOTAL      BALCOL    
KXMLBHR-26SEP022010CWSHOU         KXMLBHR         CWSHOU    
KXMLBSPREAD-26SEP021940DETMIN     KXMLBSPREAD     DETMIN    
KXMLBTOTAL-26SEP021940DETMIN      KXMLBTOTAL      DETMIN    
KXMLBHR-26SEP021940MIAKC          KXMLBHR         MIAKC     
KXMLBHR-26SEP021940MILCHC         KXMLBHR         MILCHC    
KXMLBHR-26SEP021840NYMTB          KXMLBHR         NYMTB     
KXMLBSPREAD-26SEP021840NYMTB      KXMLBSPREAD     NYMTB     
KXMLBF5TOTAL-26SEP022138NYYLAA    KXMLBF5TOTAL    NYYLAA    
KXMLBHR-26SEP022138NYYLAA         KXMLBHR         NYYLAA    
KXMLBSPREAD-26SEP022138NYYLAA     KXMLBSPREAD     NYYLAA    
KXMLBTEAMTOTAL-26SEP022138NYYLAA  KXMLBTEAMTOTAL  NYYLAA    
KXMLBTOTAL-26SEP022138NYYLAA      KXMLBTOTAL      NYYLAA    
KXMLBHR-26SEP021840SFPIT          KXMLBHR         SFPIT     
KXMLBTOTAL-26SEP021840SFPIT       KXMLBTOTAL      SFPIT     
KXMLBSPREAD-26SEP022210STLLAD     KXMLBSPREAD     STLLAD    
KXMLBTEAMTOTAL-26SEP022210STLLAD  KXMLBTEAMTOTAL  STLLAD    
KXMLBTOTAL-26SEP022210STLLAD      KXMLBTOTAL      STLLAD    
KXMLBHR-26SEP021840TORCLE         KXMLBHR         TORCLE    

(23 rows)
