# ops request [READ]
# type=db  id=dm10-keepclause-1
# code c99e8a033ea76a5eb2efe5bca4626e3b5a526efd · started 2026-09-04T16:19:05Z
verdict  computed                       clause_list  metric                      op  threshold  observed  n    passed
-------  -----------------------------  -----------  --------------------------  --  ---------  --------  ---  ------
FAIL     2026-09-04 06:01:06.157496+00  fail_any     live_max_realized_loss_usd  >   1.0        0.94      70   false 
FAIL     2026-09-04 06:01:06.157496+00  fail_any     live_realized_pnl_usd       <=  -15.0      -4.4568   70   false 
FAIL     2026-09-04 06:01:06.157496+00  fail_any     twin_live_paired_gap_cents  >   0.5        -0.0741   70   false 
FAIL     2026-09-04 06:01:06.157496+00  fail_any     twin_live_paired_gap_cents  <   -0.5       -0.0741   70   false 
FAIL     2026-09-04 06:01:06.157496+00  fail_any     twin_live_winrate_gap_pp    >   5.0        5.604     70   true  
FAIL     2026-09-04 06:01:06.157496+00  hold_if      live_fill_rate_pct          <   25.0       49.4505   182  false 
FAIL     2026-09-04 06:01:06.157496+00  hold_if      twin_mirror_coverage_pct    <   50.0       100.0     151  false 
FAIL     2026-09-04 06:01:06.157496+00  horizon      live_settled_contracts      >   600        70.0      70   false 
FAIL     2026-09-04 06:01:06.157496+00  pass_all     live_cents_per_contract     >   0.0        -6.3669   70   false 
FAIL     2026-09-04 06:01:06.157496+00  pass_all     twin_live_winrate_gap_pp    <=  1.0        5.604     70   false 
FAIL     2026-09-04 06:01:06.157496+00  sample       live_settled_contracts      >=  150        70.0      70   false 

(11 rows)
