# ops request [READ]
# type=db  id=dm10-losers-1
# code c99e8a033ea76a5eb2efe5bca4626e3b5a526efd · started 2026-09-04T23:00:21Z
market_ticker                            series          entry_px  entered      realized
---------------------------------------  --------------  --------  -----------  --------
KXMLBSPREAD-26SEP032140ATHSEA-ATH3       KXMLBSPREAD     94        09-04 03:12  -0.94   
KXMLBHR-26SEP021840NYMTB-TBRPALACIOS1-1  KXMLBHR         93        09-02 21:35  -0.93   
KXMLBHR-26SEP021305ATLWSH-ATLRACUNA13-1  KXMLBHR         93        09-02 20:06  -0.93   
KXMLBTEAMTOTAL-26SEP022210STLLAD-STL8    KXMLBTEAMTOTAL  93        09-03 04:16  -0.93   
KXMLBTOTAL-26SEP021940DETMIN-14          KXMLBTOTAL      93        09-03 02:14  -0.93   
KXMLBTOTAL-26SEP022210STLLAD-13          KXMLBTOTAL      93        09-03 03:46  -0.93   
KXMLBTEAMTOTAL-26SEP022138NYYLAA-NYY6    KXMLBTEAMTOTAL  93        09-03 03:16  -0.93   
KXMLBTEAMTOTAL-26SEP022210STLLAD-STL6    KXMLBTEAMTOTAL  91        09-03 03:16  -0.91   
KXMLBSPREAD-26SEP021840NYMTB-NYM6        KXMLBSPREAD     90        09-03 00:11  -0.90   
KXMLBTOTAL-26SEP022138NYYLAA-8           KXMLBTOTAL      90        09-03 03:15  -0.90   

(10 rows)
