# ops request [READ]
# type=db  id=dm10-series-1
# code c99e8a033ea76a5eb2efe5bca4626e3b5a526efd · started 2026-09-04T23:01:10Z
series                   filled  settled  wins  losses  realized_usd  avg_entry_px
-----------------------  ------  -------  ----  ------  ------------  ------------
KXMLBTEAMTOTAL           3       3        0     3       -2.77         92.3        
KXMLBTOTAL               10      10       7     3       -2.13         91.3        
KXMLBSPREAD              12      12       10    2       -1.02         91.8        
KXMLBHR                  15      15       13    2       -0.86         92.4        
KXWTIW                   4       0        0     0       0.00          93.8        
KXAPRPOTUS               1       0        0     0       0.00          94.0        
KXBIGBROTHERELIMINATION  1       0        0     0       0.00          93.0        
KXNASCARRACE             2       0        0     0       0.00          93.5        
KXPAYROLLS               2       0        0     0       0.00          93.0        
KXRT                     2       0        0     0       0.00          93.0        
KXSECPRESSMENTION        1       0        0     0       0.00          93.0        
KXTRUMPSAY               2       0        0     0       0.00          93.5        
KXTRUTHSOCIAL            1       0        0     0       0.00          93.0        
KXALBUMEQUIV             1       0        0     0       0.00          93.0        
KXECULPTOTAL             1       1        1     0       0.06          94.0        
KXINXU                   1       1        1     0       0.06          94.0        
KXBRASILEIROGAME         1       1        1     0       0.06          94.0        
KXJLEAGUETOTAL           1       1        1     0       0.06          94.0        
KXCOPPAITALIATOTAL       1       1        1     0       0.06          94.0        
KXWTAMATCH               1       1        1     0       0.07          93.0        
KXSCOTTISHPREMGAME       1       1        1     0       0.07          93.0        
KXNCAAFGAME              4       1        1     0       0.07          93.5        
KXITFWMATCH              1       1        1     0       0.07          93.0        
KXMLBF5TOTAL             1       1        1     0       0.09          91.0        
KXITFMATCH               1       1        1     0       0.09          91.0        

(25 rows; output capped at 25 — refine the query for more)
