# ops request [READ]
# type=db  id=et-ws019-19
# code 5ea57bd3ac1d708da07ddeb52cbfbabc16a62ef7 · started 2026-09-18T18:37:19Z
lbl                       n   filled  pct  
------------------------  --  ------  -----
1 hours_to_close b 1-3    4   2       50   
1 hours_to_close d 6plus  82  64      78   
2 spread_cents a under5   86  66      77   
3 entry_no_price 90       6   5       83   
3 entry_no_price 91       11  8       73   
3 entry_no_price 93       41  29      71   
3 entry_no_price 94       28  24      86   
4 review_tier graduated   82  64      78   
4 review_tier none        4   2       50   
5 rest_seconds_canceled   20  14434   14535
5 rest_seconds_filled     66  429     4919 

(11 rows)
