# ops request [READ]
# type=db  id=et-ws019-21
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T03:06:47Z
hr                         n    sample                                      
-------------------------  ---  --------------------------------------------
2026-09-24 03:00:00+00:00  24   TypeError: 'NoneType' object is not iterable
2026-09-24 02:00:00+00:00  189  TypeError: 'NoneType' object is not iterable
2026-09-24 01:00:00+00:00  193  TypeError: 'NoneType' object is not iterable
2026-09-24 00:00:00+00:00  184  TypeError: 'NoneType' object is not iterable
2026-09-23 23:00:00+00:00  187  TypeError: 'NoneType' object is not iterable
2026-09-23 22:00:00+00:00  188  TypeError: 'NoneType' object is not iterable
2026-09-23 21:00:00+00:00  193  TypeError: 'NoneType' object is not iterable
2026-09-23 20:00:00+00:00  457  TypeError: 'NoneType' object is not iterable
2026-09-23 19:00:00+00:00  977  TypeError: 'NoneType' object is not iterable
2026-09-23 18:00:00+00:00  230  TypeError: 'NoneType' object is not iterable
2026-09-23 17:00:00+00:00  235  TypeError: 'NoneType' object is not iterable
2026-09-23 16:00:00+00:00  235  TypeError: 'NoneType' object is not iterable
2026-09-23 15:00:00+00:00  246  TypeError: 'NoneType' object is not iterable
2026-09-23 14:00:00+00:00  287  TypeError: 'NoneType' object is not iterable
2026-09-23 13:00:00+00:00  277  TypeError: 'NoneType' object is not iterable
2026-09-23 12:00:00+00:00  224  TypeError: 'NoneType' object is not iterable
2026-09-22 12:00:00+00:00  17   TypeError: 'NoneType' object is not iterable
2026-09-21 22:00:00+00:00  1    TypeError: 'NoneType' object is not iterable
2026-09-21 16:00:00+00:00  52   TypeError: 'NoneType' object is not iterable
2026-09-21 15:00:00+00:00  1    TypeError: 'NoneType' object is not iterable
2026-09-21 14:00:00+00:00  9    TypeError: 'NoneType' object is not iterable
2026-09-21 13:00:00+00:00  12   TypeError: 'NoneType' object is not iterable

(22 rows)
