# ops request [READ]
# type=db  id=et-ws019-23
# code 94424a42333b735184c9af54262b9540ff2d8a5b · started 2026-09-24T13:49:39Z
hr                         n  
-------------------------  ---
2026-09-24 07:00:00+00:00  9  
2026-09-24 06:00:00+00:00  185
2026-09-24 05:00:00+00:00  182
2026-09-24 04:00:00+00:00  187
2026-09-24 03:00:00+00:00  185
2026-09-24 02:00:00+00:00  189
2026-09-24 01:00:00+00:00  193
2026-09-24 00:00:00+00:00  184
2026-09-23 23:00:00+00:00  187
2026-09-23 22:00:00+00:00  188
2026-09-23 21:00:00+00:00  193
2026-09-23 20:00:00+00:00  457
2026-09-23 19:00:00+00:00  215

(13 rows)
