# ops request [READ]
# type=db  id=et-ws019-25
# code 94424a42333b735184c9af54262b9540ff2d8a5b · started 2026-09-24T15:48:01Z
lbl                           n    fill_pct
----------------------------  ---  --------
qty_at_our_price a_0          93   55      
qty_at_our_price b_1-10       45   80      
qty_at_our_price c_11-100     20   95      
qty_at_our_price d_100plus    114  80      
qty_at_our_price z_null       4    75      
qty_better a_0                216  76      
qty_better b_1-10             2    100     
qty_better c_10plus           54   57      
qty_better z_null             4    75      
vol_since_placement a_0       62   68      
vol_since_placement b_1-5     7    71      
vol_since_placement c_6-20    11   91      
vol_since_placement d_20plus  192  73      
vol_since_placement z_null    4    75      

(14 rows)
