# ops request [READ]
# type=db  id=et-ws019-7
# code ccf4f9d3c48810bb73a35a6475634b035ea0f3f3 · started 2026-09-17T10:56:05Z
kind          n   first_at                          last_at                           sample                                                
------------  --  --------------------------------  --------------------------------  ------------------------------------------------------
connected     1   2026-09-17 08:10:07.986609+00:00  2026-09-17 08:10:07.986609+00:00  connection 3                                          
connected     1   2026-09-17 07:31:40.579945+00:00  2026-09-17 07:31:40.579945+00:00  connection 2                                          
disconnected  2   2026-09-17 07:31:38.520434+00:00  2026-09-17 08:10:03.931343+00:00  ConnectionClosedError: no close frame received or sent
poll_failed   1   2026-09-17 07:43:37.377116+00:00  2026-09-17 07:43:37.377116+00:00  TransientError: transient status 500                  
poll_missing  43  2026-09-17 03:43:09.498970+00:00  2026-09-17 03:45:45.918063+00:00  1 active orders absent from batch                     
seq_gap       1   2026-09-16 23:19:57.957969+00:00  2026-09-16 23:19:57.957969+00:00  orderbook_delta sid=4 expected 52339 got 52340        
seq_gap       1   2026-09-17 01:24:06.816133+00:00  2026-09-17 01:24:06.816133+00:00  trade sid=5 expected 2947 got 2948                    
seq_gap       1   2026-09-17 02:43:11.298645+00:00  2026-09-17 02:43:11.298645+00:00  trade sid=5 expected 3060 got 3061                    
seq_gap       1   2026-09-16 22:57:01.096468+00:00  2026-09-16 22:57:01.096468+00:00  trade sid=5 expected 540 got 541                      
seq_gap       1   2026-09-17 09:44:29.466683+00:00  2026-09-17 09:44:29.466683+00:00  orderbook_delta sid=4 expected 12136 got 12137        
seq_gap       1   2026-09-17 02:10:46.497830+00:00  2026-09-17 02:10:46.497830+00:00  orderbook_delta sid=4 expected 80723 got 80724        
seq_gap       1   2026-09-17 07:10:01.716733+00:00  2026-09-17 07:10:01.716733+00:00  orderbook_delta sid=4 expected 106464 got 106465      
seq_gap       1   2026-09-17 00:43:02.975943+00:00  2026-09-17 00:43:02.975943+00:00  trade sid=5 expected 2930 got 2932                    
seq_gap       1   2026-09-16 22:28:57.265352+00:00  2026-09-16 22:28:57.265352+00:00  trade sid=5 expected 488 got 489                      
seq_gap       1   2026-09-17 09:31:51.188819+00:00  2026-09-17 09:31:51.188819+00:00  trade sid=5 expected 85 got 86                        
seq_gap       1   2026-09-16 22:09:53.287318+00:00  2026-09-16 22:09:53.287318+00:00  orderbook_delta sid=4 expected 7994 got 7995          
seq_gap       1   2026-09-16 22:28:54.850883+00:00  2026-09-16 22:28:54.850883+00:00  orderbook_delta sid=4 expected 8947 got 8948          
seq_gap       1   2026-09-16 22:57:53.891660+00:00  2026-09-16 22:57:53.891660+00:00  trade sid=5 expected 606 got 607                      
seq_gap       1   2026-09-16 22:43:10.535800+00:00  2026-09-16 22:43:10.535800+00:00  trade sid=5 expected 520 got 521                      
seq_gap       1   2026-09-16 23:23:49.958070+00:00  2026-09-16 23:23:49.958070+00:00  trade sid=5 expected 2920 got 2921                    
seq_gap       1   2026-09-17 02:54:51.004826+00:00  2026-09-17 02:54:51.004826+00:00  orderbook_delta sid=4 expected 93339 got 93340        
seq_gap       1   2026-09-17 01:10:07.711121+00:00  2026-09-17 01:10:07.711121+00:00  orderbook_delta sid=4 expected 75179 got 75180        
seq_gap       1   2026-09-17 01:04:32.042622+00:00  2026-09-17 01:04:32.042622+00:00  trade sid=5 expected 2944 got 2946                    
seq_gap       1   2026-09-17 00:03:20.483944+00:00  2026-09-17 00:03:20.483944+00:00  trade sid=5 expected 2924 got 2925                    
seq_gap       1   2026-09-16 22:46:45.627085+00:00  2026-09-16 22:46:45.627085+00:00  orderbook_delta sid=4 expected 11810 got 11811        
