# ops request [READ]
# type=db  id=evo-listener-check-2
# code a2934e532c9bd5de0a1f451bd4f209e47eb86b06 · started 2026-09-03T17:22:22Z
id    status     sample                                                                                                                                                                                                  
----  ---------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
7153  completed  [{"ok": true, "doc": "EDGE_RESEARCH", "type": "read_doc", "chunk": 0, "total_chunks": 3}, {"type": "create_listener", "rejected": "condition object required"}, {"ok": true, "type": "note_episode", "m…
6440  completed  [{"ok": true, "type": "inspect_data", "count": 0, "source": "signals"}, {"ok": true, "type": "inspect_data", "count": 0, "source": "book_performance"}, {"ok": true, "type": "inspect_data", "count": 8…
6147  completed  [{"type": "create_listener", "rejected": "condition needs a non-empty 'all' or 'any' list"}, {"ok": true, "type": "note_episode", "memory_id": 10075}, {"type": "set_working_state", "rejected": "state…
5145  completed  [{"ok": true, "type": "inspect_data", "count": 20, "source": "crypto_ladders"}, {"ok": true, "type": "inspect_data", "count": 5, "source": "crypto_spot"}, {"ok": true, "type": "inspect_data", "count"…
4939  completed  [{"ok": true, "type": "revise_belief", "memory_id": 8376}, {"type": "save_strategy", "rejected": "graveyard conflict: document graveyard_check {prior_attempt, prior_result, material_difference} first…
4857  completed  [{"ok": true, "type": "inspect_data", "count": 0, "source": "paper_trades"}, {"ok": true, "doc": "BOOK_REGISTRY", "type": "read_doc", "chunk": 0, "total_chunks": 7}, {"ok": true, "type": "explore_mar…
4824  completed  [{"type": "create_listener", "rejected": "condition object required"}, {"type": "create_listener", "rejected": "condition object required"}, {"type": "create_listener", "rejected": "condition object …
4821  completed  [{"ok": true, "type": "inspect_data", "count": 20, "source": "book_performance"}, {"ok": true, "type": "inspect_data", "count": 0, "source": "book_performance"}, {"ok": true, "type": "inspect_data", …

(8 rows)
