# ops request: type='db'
k                             v                            
----------------------------  -----------------------------
experiments                   27                           
experiment_versions           9                            
experiment_epochs             9                            
experiment_arms               20                           
experiment_deployments        11                           
experiment_gates              8                            
experiment_gate_results       88                           
experiment_state_transitions  27                           
platform_revisions            10                           
platform_snapshots            1                            
platform_impact_actions       0                            
integrity_events              6                            
enforcement_rows              1                            
max_state_transition_at       2026-08-16 14:14:43.720928+00
max_gate_result_at            2026-08-24 02:43:49.245103+00
XOS-000003_status             ACTION_REQUIRED              
XOS-000003_events             19                           
XOS-000004_status             RESOLVED                     
XOS-000005_status             RESOLVED                     
XOS-000007_status             OPEN                         

(20 rows)
