# ops request [READ]
# type=db  id=k-fit-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:35:19Z
series                      contests  losses  entry  awin     aloss   
--------------------------  --------  ------  -----  -------  --------
KXATPCHALLENGERMATCH        638       175     23.0   33.63    -96.73  
KXITFMATCH                  636       131     21.2   32.51    -93.47  
KXITFWMATCH                 517       119     22.0   32.89    -107.38 
KXMLBGAME                   513       134     22.9   39.29    -96.90  
KXMLBTOTAL                  429       113     16.1   151.39   -406.21 
KXMLBSPREAD                 362       82      13.3   134.25   -312.78 
KXATPMATCH                  359       105     22.8   35.50    -94.61  
KXMLBHR                     306       67      7.3    160.68   -498.32 
KXWTAMATCH                  299       75      22.5   35.62    -69.04  
KXMLBKS                     130       21      10.5   57.32    -276.11 
KXMLBTEAMTOTAL              125       21      9.2    78.97    -413.38 
KXLOLGAME                   105       32      23.7   36.52    -104.10 
KXWNBAGAME                  94        18      23.4   43.50    -73.04  
KXMLBF5TOTAL                92        12      10.1   35.50    -245.39 
KXCS2GAME                   88        27      22.0   27.03    -121.25 
KXNCAAFSPREAD               82        19      14.7   121.10   -328.64 
KXT20MATCH                  75        18      23.2   35.64    -84.92  
KXNCAAFTOTAL                72        16      15.6   113.36   -283.66 
KXWNBATOTAL                 63        15      16.1   128.88   -352.97 
KXMLSGAME                   63        18      18.1   43.39    -56.06  
KXWTASETWINNER              61        11      23.0   43.26    -124.83 
KXATPSETWINNER              60        13      22.9   41.06    -72.55  
KXNCAAFGAME                 58        7       24.5   36.12    -115.53 
KXBTCD                      57        16      12.4   419.51   -1258.04
KXWNBASPREAD                56        10      13.2   181.13   -501.63 
KXCLUBFGAME                 53        12      14.3   43.25    -292.61 
KXUFCFIGHT                  51        10      24.7   34.08    -83.25  
KXNPBGAME                   50        5       23.4   36.35    -40.27  
KXMLSTOTAL                  48        7       11.3   59.74    -140.01 
KXNFLSPREAD                 44        20      9.2    246.79   -1052.45
KXNFLTOTAL                  43        7       14.1   198.69   -319.59 
KXWTACHALLENGERMATCH        42        9       21.1   30.97    -164.82 
KXVALORANTGAME              41        10      20.0   33.29    -93.68  
KXUFCMOV                    41        7       13.1   78.75    -182.22 
KXLIGAMXGAME                41        18      19.3   46.21    -92.92  
KXCLUBFTOTAL                39        7       11.9   61.82    -245.86 
KXNFLGAME                   38        17      28.8   40.58    -54.19  
KXMLBHIT                    37        6       9.8    66.13    -187.76 
KXARGPREMDIVGAME            36        9       15.0   40.63    -131.13 
KXMLBF5                     36        5       18.3   28.12    -156.60 
KXLEAGUESCUPGAME            35        15      20.3   60.62    -125.49 
KXNBASUMMERGAME             34        9       21.1   36.76    -51.89  
KXLEAGUESCUPTOTAL           34        5       11.0   102.55   -277.27 
KXLALIGAGAME                34        13      19.0   31.03    -35.85  
KXATPEXACTMATCH             33        7       16.9   83.93    -154.56 
KXDOTA2GAME                 32        7       27.3   26.84    -41.38  
KXARGPREMDIVTOTAL           31        2       9.7    48.55    -163.58 
KXLALIGATOTAL               31        8       11.8   56.34    -129.23 
KXKBOGAME                   31        8       16.4   32.91    -100.91 
KXODIMATCH                  29        10      20.6   54.44    -89.70  
KXECULPGAME                 28        11      14.6   37.09    -80.66  
KXBRASILEIROGAME            28        5       12.9   36.25    -39.22  
KXLIGAMXTOTAL               27        4       11.1   60.71    -56.94  
KXEPLGAME                   27        10      20.8   38.27    -36.94  
KXATPGSPREAD                27        1       18.8   30.10    -85.22  
KXRAIN                      27        1       11.0   267.53   -127.21 
KXEFLCHAMPIONSHIPGAME       26        5       12.2   29.29    -170.50 
KXLEAGUESCUPSPREAD          26        6       13.0   86.80    -542.35 
KXEPLTOTAL                  26        7       14.4   75.57    -52.27  
KXMLBF5SPREAD               24        2       20.7   23.66    -79.73  
KXBRASILEIROTOTAL           23        3       9.6    48.09    -323.36 
KXCPLMATCH                  23        7       26.7   37.07    -69.36  
KXUECLTOTAL                 23        5       9.9    41.68    -95.98  
KXAAAGASD                   22        5       18.3   73.81    -360.83 
KXLALIGASPREAD              21        4       17.1   44.82    -244.78 
KXETHD                      21        3       16.6   151.47   -1536.42
KXMLSSPREAD                 21        1       10.3   38.12    -68.47  
KXPERLIGA1GAME              21        5       25.5   20.13    -43.96  
KXECULPTOTAL                20        2       8.9    46.05    -46.57  
KXWC1HSCORE                 19        9       14.8   100.30   -81.67  
KXWCSPREAD                  19        4       14.5   87.47    -167.50 
KXWCMENTION                 19        4       19.0   309.87   -225.25 
KXWCGOAL                    19        6       13.4   361.08   -387.50 
