# ops request [READ]
# type=db  id=limm-cap-1
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T18:22:17Z
g  t                              b                             c    d    e   f        h         i                     
-  -----------------------------  ----------------------------  ---  ---  --  -------  --------  ----------------------
1  2026-09-18 18:21:03.428944+00  KXRT-RES-94                   no   buy  10  1        resting   KXRT-RES              
1  2026-09-18 17:33:50.712585+00  KXRT-RES-93                   no   buy  3   1        resting   KXRT-RES              
1  2026-09-18 14:48:49.863864+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes  buy  1   1        filled    KXTRUMPAPPROVE-26SEP18
1  2026-09-18 06:00:04.793171+00  KXUSLEI-26SEP18-T0.2          yes  buy  5   1        filled    KXUSLEI-26SEP18       
1  2026-09-18 00:08:31.254676+00  KXAAAGASDAZ-26SEP18-4.6800    yes  buy  1   1        canceled  KXAAAGASDAZ-26SEP18   
1  2026-09-17 20:04:28.435148+00  KXYTVIEWSHIGH-POS26OCT-8.75M  yes  buy  4   1        canceled  KXYTVIEWSHIGH-POS26OCT
1  2026-09-17 20:04:27.804563+00  KXBIGGESTQUAKE-17SEP26-7.0    yes  buy  1   1        filled    KXBIGGESTQUAKE-17SEP26
1  2026-09-17 20:04:27.108789+00  KXBIGGESTQUAKE-17SEP26-6.8    yes  buy  1   1        filled    KXBIGGESTQUAKE-17SEP26
1  2026-09-17 16:00:47.920037+00  KXHORMUZPEAK-26SEP20-T20      yes  buy  3   1        canceled  KXHORMUZPEAK-26SEP20  
1  2026-09-17 16:00:47.221295+00  KXHORMUZPEAK-26SEP20-T30      yes  buy  1   1        canceled  KXHORMUZPEAK-26SEP20  
1  2026-09-17 16:00:46.645547+00  KXHORMUZPEAK-26SEP20-T25      yes  buy  1   1        canceled  KXHORMUZPEAK-26SEP20  
2  2026-09-18 18:19:30.836509+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:19:30.834526+00  KXRT-RES-93                   no   pos  0   3.0000   0.0000    0.0003                
2  2026-09-18 18:16:57.985932+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:14:14.888051+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:11:41.42584+00   KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:08:58.068604+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:05:19.755445+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 18:02:39.000111+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 17:59:57.639316+00  KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                
2  2026-09-18 17:57:18.58406+00   KXRT-RES-97                   no   pos  -1  93.0000  0.0000    0.9300                

(21 rows)
