# ops request [READ]
# type=db  id=limm-cap-2
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T18:23:16Z
g  t                              b                             c          d   e        f        h       
-  -----------------------------  ----------------------------  ---------  --  -------  -------  --------
1  2026-09-18 17:32:14.743382+00  KXTRUMPAPPROVE-26SEP18-E39.4  no         0   -        -0.0100  0.0000  
1  2026-09-18 17:29:37.610195+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes        1   1.0000   0.0000   0.0100  
1  2026-09-18 17:27:09.011527+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes        1   1.0000   0.0000   0.0100  
1  2026-09-18 17:24:32.808988+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes        1   1.0000   0.0000   0.0100  
1  2026-09-18 17:21:56.713105+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes        1   1.0000   0.0000   0.0100  
1  2026-09-18 17:19:22.703448+00  KXTRUMPAPPROVE-26SEP18-E39.4  yes        1   1.0000   0.0000   0.0100  
2  2026-09-18 18:21:03.428944+00  KXRT-RES-94                   Alimm1     no  10       resting  KXRT-RES
2  2026-09-18 17:33:50.712585+00  KXRT-RES-93                   Alimm1     no  3        resting  KXRT-RES
2  2026-09-14 20:31:44.997163+00  KXRT-RES-97                   Fmmsell10  no  93       filled   KXRT-RES
3  2026-09-18 18:19:30.836509+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:19:30.834526+00  KXRT-RES-93                   no         0   3.0000   0.0000   0.0003  
3  2026-09-18 18:16:57.985932+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:14:14.888051+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:11:41.42584+00   KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:08:58.068604+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:05:19.755445+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  
3  2026-09-18 18:02:39.000111+00  KXRT-RES-97                   no         -1  93.0000  0.0000   0.9300  

(17 rows)
