# ops request [READ]
# type=db  id=limm-cat-3
# code 5ea57bd3ac1d708da07ddeb52cbfbabc16a62ef7 · started 2026-09-18T19:18:33Z
series     title                                       markets  tgt_min  tgt_max  disc_min  disc_max  reward_sum
---------  ------------------------------------------  -------  -------  -------  --------  --------  ----------
KXFEATURE  Will 21 Savage be featured on Grand Theft   1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will 2 Chainz be featured on Grand Theft A  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will AC/DC be featured on Grand Theft Auto  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Addison Rae be featured on Grand Thef  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Adele be featured on Grand Theft Auto  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Alex Warren be featured on Grand Thef  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Anuel AA be featured on Grand Theft A  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Ariana Grande be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Backstreet Boys be featured on Grand   1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Bad Bunny be featured on Grand Theft   1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Bebe Rexha be featured on Grand Theft  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Benson Boone be featured on Grand The  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Beyoncé be featured on Grand Theft Au  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Big Sean be featured on Grand Theft A  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Billie Eilish be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will BLACKPINK be featured on Grand Theft   1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Bruno Mars be featured on Grand Theft  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Bryson Tiller be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will BTS be featured on Grand Theft Auto V  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Calvin Harris be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Camilo be featured on Grand Theft Aut  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Cardi B be featured on Grand Theft Au  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Chappell Roan be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Charlie Puth be featured on Grand The  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Charli xcx be featured on Grand Theft  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Childish Gambino be featured on Grand  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Chris Brown be featured on Grand Thef  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Christina Aguilera be featured on Gra  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Coldplay be featured on Grand Theft A  1        1000.00  1000.00  5000      5000      100.00    
KXFEATURE  Will Cynthia Erivo be featured on Grand Th  1        1000.00  1000.00  5000      5000      100.00    

(30 rows)
