# ops request [READ]
# type=db  id=limm-catchup-0924b
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T03:04:50Z
market_ticker                 side  quantity  realized_pnl  captured      
----------------------------  ----  --------  ------------  --------------
KXBIGGESTQUAKE-17SEP26-6.8    yes   1         0.0000        09-23 08:59:30
KXBIGGESTQUAKE-17SEP26-7.0    yes   1         0.0000        09-23 08:59:30
KXBIGGESTQUAKE-21SEP26-6.4    yes   1         0.0000        09-22 12:39:34
KXRT-RES-93                   yes   0         -0.0300       09-21 15:17:23
KXRT-RES-94                   yes   0         -0.1000       09-21 15:17:23
KXTRUMPAPPROVE-26SEP18-E39.4  no    0         -0.0100       09-18 17:32:14
KXUSLEI-26SEP18-T0.2          no    0         -0.0500       09-18 14:47:14

(7 rows)
