# ops request [READ]
# type=db  id=limm-catchup-0924c
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T03:05:23Z
market_ticker                        side  quantity  realized_pnl  captured      
-----------------------------------  ----  --------  ------------  --------------
KXWTIMAX-26SEP30-T120.00             no    -1        0.0000        09-23 08:59:30
KXBTCD-26SEP2517-T86999.99           no    -1        0.0000        09-23 08:59:30
KXBTCMAX100-26-SEP                   no    -1        0.0000        09-23 08:59:30
KXBTCMAXMON-BTC-26SEP30-8750000      no    -1        0.0000        09-23 08:59:30
KXETHD-26SEP2517-T2979.99            no    -1        0.0000        09-23 08:59:30
KXRAIN-26SEP22-BOS                   no    -1        0.0000        09-23 08:59:30
KXRAINLAXM-26SEP-1                   no    -1        0.0000        09-23 08:59:30
KXTRUMPSAYNICKNAME-26OCT01-NUMB      no    -1        0.0000        09-23 08:59:30
KXWTI-26SEP2314-T93.49               no    -1        0.0000        09-23 08:59:30
KX30YMORTW-26SEP24-T7.01             yes   2         0.0000        09-23 08:59:30
KXBIGGESTQUAKE-17SEP26-6.8           yes   1         0.0000        09-23 08:59:30
KXBIGGESTQUAKE-17SEP26-7.0           yes   1         0.0000        09-23 08:59:30
KXBTCD-26SEP2217-T89999.99           no    -1        0.0000        09-22 12:39:34
KXBIGGESTQUAKE-21SEP26-6.4           yes   1         0.0000        09-22 12:39:34
KXRAIN-26SEP21-SFO                   no    -1        0.0000        09-22 12:39:34
KXBTCD-26SEP0417-T80499.99           no    -1        0.0000        09-04 13:03:27
KXPAYROLLS-26AUG-T150000             no    -1        0.0000        09-04 13:03:27
KXAPRPOTUS-26SEP04-38.7              no    -1        0.0000        09-04 13:03:27
KXPAYROLLS-26AUG-T200000             no    -1        0.0000        09-04 13:03:27
KXBIGBROTHERELIMINATION-26SEP03-TAY  no    -1        0.0000        09-04 13:03:27

(20 rows)
