# ops request [READ]
# type=db  id=limm-catchup-0924d
# code e81faf472b6f336ffe56cda87d32c6deeda4a40f · started 2026-09-24T03:05:57Z
at_utc          balance_cents  residual  fills  setl  ptx    notes
--------------  -------------  --------  -----  ----  -----  -----
09-23 08:49:50  11462          0         1      0     false  null 
09-23 08:34:16  11556          0         0      0     false  null 
09-23 08:17:45  11556          0         0      0     false  null 
09-23 08:01:54  11556          0         0      4     false  null 
09-22 08:34:59  11256          0         0      1     false  null 
09-22 08:18:55  11156          0         0      0     false  null 
09-22 08:02:28  11156          0         1      0     false  null 
09-22 07:46:51  11249          0         0      0     false  null 
09-22 07:25:05  11249          0         0      0     false  null 
09-22 07:04:53  11249          0         1      0     false  null 

(10 rows)
