# ops request [READ]
# type=db  id=limm-ci-0346b
# code b06b490fbd67c9a8eb7905d1dc18f558910d10ad · started 2026-09-26T03:46:41Z
market_ticker               filled_at                         side  action  price  quantity  fee   
--------------------------  --------------------------------  ----  ------  -----  --------  ------
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 00:21:14.470028+00:00  no    sell    28     6         0.0000
KXRAIN-26SEP25-PHIL         2026-09-26 01:56:46.933613+00:00  yes   buy     14     11        0.0000
KXRAIN-26SEP25-PHIL         2026-09-26 01:56:46.937319+00:00  no    sell    84     3         0.0000
KXRAIN-26SEP25-PHIL         2026-09-26 02:08:16.271099+00:00  no    sell    84     8         0.0000
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:15:40.439700+00:00  no    sell    28     29        0.0000
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:18:37.073921+00:00  yes   buy     84     1         0.0095
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:21:33.689292+00:00  yes   buy     88     1         0.0074
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:21:33.692783+00:00  yes   buy     89     2         0.0137
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:24:22.671572+00:00  yes   buy     91     10        0.0573
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:24:22.674994+00:00  yes   buy     91     1         0.0058
KXAAAGASDCO-26SEP26-4.2350  2026-09-26 02:24:22.679072+00:00  yes   buy     92     1         0.0052

(11 rows)
