# ops request [READ]
# type=db  id=limm-ci-1357c
# code b06b490fbd67c9a8eb7905d1dc18f558910d10ad · started 2026-09-26T13:59:26Z
market_ticker                             captured_at                       quantity  realized_pnl  market_exposure
----------------------------------------  --------------------------------  --------  ------------  ---------------
KXAAAGASD-26SEP26-4.4950                  2026-09-26 11:06:58.204048+00:00  0         0.0700        0.0000         
KXAAAGASDCA-26SEP26-6.3150                2026-09-26 11:03:04.238910+00:00  0         -2.9600       0.0000         
KXAAAGASDCO-26SEP26-4.2350                2026-09-26 11:06:58.190172+00:00  0         -24.3289      0.0000         
KXAAAGASW-26SEP28-4.5200                  2026-09-26 13:56:22.253371+00:00  -1        0.0000        0.9400         
KXATPCHALLENGERMATCH-26SEP25DIESEA-SEA    2026-09-26 01:53:44.480101+00:00  0         0.1000        0.0000         
KXBIGGESTQUAKE-17SEP26-6.8                2026-09-26 13:56:22.259102+00:00  1         0.0000        0.0100         
KXBIGGESTQUAKE-17SEP26-7.0                2026-09-26 13:56:22.260933+00:00  1         0.0000        0.0100         
KXBTCD-26SEP2617-T84749.99                2026-09-26 13:56:22.240349+00:00  -1        0.0000        0.9400         
KXBTCMAX100-26-SEP                        2026-09-26 13:56:22.255275+00:00  -1        0.0000        0.9300         
KXBTCMAXMON-BTC-26SEP30-8750000           2026-09-26 13:56:22.262712+00:00  -1        0.0000        0.9300         
KXDIMAYORGAME-26SEP25OCBUC-OC             2026-09-26 03:18:32.424734+00:00  0         0.0600        0.0000         
KXEARNINGSMENTIONCOST-26SEP24-REV         2026-09-26 00:24:03.007980+00:00  0         0.8200        0.0000         
KXITFMATCH-26SEP26DOLNOR-DOL              2026-09-26 07:52:57.671724+00:00  0         0.0600        0.0000         
KXITFWMATCH-26SEP25JIAKUB-JIA             2026-09-26 09:29:26.535029+00:00  0         0.0600        0.0000         
KXLIGAMXTOTAL-26SEP25TIJATL-7             2026-09-26 05:18:48.850914+00:00  0         0.1000        0.0000         
KXMLBGAME-26SEP251840PITDET-PIT           2026-09-26 02:05:27.556504+00:00  0         0.0984        0.0000         
KXMLBGAME-26SEP251845NYMWSH-NYM           2026-09-26 01:53:44.476022+00:00  0         0.0885        0.0000         
KXMLBHR-26SEP251840TBPHI-TBJARANDA8-1     2026-09-26 01:22:00.758352+00:00  0         0.0700        0.0000         
KXMLBHR-26SEP252140HOUATH-ATHDWALTON35-1  2026-09-26 04:50:06.259924+00:00  0         0.0700        0.0000         
KXMLBHR-26SEP252215LADSF-SFAKNIZNER25-1   2026-09-26 04:22:29.557513+00:00  0         0.0700        0.0000         
KXMLBSPREAD-26SEP251907CINTOR-TOR3        2026-09-26 01:59:39.460311+00:00  0         0.0600        0.0000         
KXMLBSPREAD-26SEP251940CLEKC-CLE5         2026-09-26 03:39:06.971017+00:00  0         0.0700        0.0000         
KXMLBSPREAD-26SEP251940COLCWS-COL2        2026-09-26 02:21:34.011662+00:00  0         0.0700        0.0000         
KXMLBSPREAD-26SEP251940STLMIL-MIL4        2026-09-26 02:41:40.990183+00:00  0         -0.9400       0.0000         
KXMLBTOTAL-26SEP251905BALNYYG2-10         2026-09-26 02:30:08.373916+00:00  0         0.1000        0.0000         
KXMLBTOTAL-26SEP252210LAASEA-11           2026-09-26 04:58:42.303441+00:00  0         -0.9300       0.0000         
KXNFLTOTAL-26SEP27CARCLE-62               2026-09-26 13:56:22.250776+00:00  -1        0.0000        0.9300         
KXNFLTOTAL-26SEP27LVNO-66                 2026-09-26 13:56:22.244435+00:00  -1        0.0000        0.9400         
KXRAIN-26SEP25-PHIL                       2026-09-26 11:28:57.852638+00:00  0         0.2200        0.0000         
KXRAINLAXM-26SEP-1                        2026-09-26 13:56:22.266272+00:00  -1        0.0000        0.9400         
KXT20MATCH-26SEP252000NEPJAP-JAP          2026-09-26 13:56:22.238136+00:00  -1        0.0000        0.9100         
KXTRUMPENDORSEMENTS-26SEP25-A25           2026-09-26 13:56:22.246348+00:00  0         -0.0300       0.0000         
KXTRUMPSAYNICKNAME-26OCT01-NUMB           2026-09-26 13:56:22.257249+00:00  -1        0.0000        0.9300         
KXWTI-26SEP2514-T94.49                    2026-09-26 13:56:22.242397+00:00  -1        0.0000        0.9000         
KXWTIMAX-26SEP30-T120.00                  2026-09-26 13:56:22.264517+00:00  -1        0.0000        0.9100         
KXWTIW-26SEP2514-B95.50                   2026-09-26 13:56:22.248287+00:00  -1        0.0000        0.9300         

(36 rows)
