# ops request [READ]
# type=db  id=limm-ci-1725b
# code 6bfcdfb18af60b6c37738488a6cbeadd05e0085f · started 2026-09-20T17:28:26Z
sec  a               b       c                                 d    e   f       
---  --------------  ------  --------------------------------  ---  --  --------
1    09-18 18:21:03  Alimm1  KXRT-RES-94                       no   1   filled  
1    09-18 17:33:50  Alimm1  KXRT-RES-93                       no   1   filled  
1    09-18 14:48:49  Alimm1  KXTRUMPAPPROVE-26SEP18-E39.4      yes  1   filled  
1    09-18 06:00:04  Alimm1  KXUSLEI-26SEP18-T0.2              yes  1   filled  
1    09-18 00:08:31  Alimm1  KXAAAGASDAZ-26SEP18-4.6800        yes  1   canceled
1    09-17 20:04:28  Alimm1  KXYTVIEWSHIGH-POS26OCT-8.75M      yes  1   canceled
1    09-17 20:04:27  Alimm1  KXBIGGESTQUAKE-17SEP26-6.8        yes  1   filled  
1    09-17 20:04:27  Alimm1  KXBIGGESTQUAKE-17SEP26-7.0        yes  1   filled  
1    09-17 16:00:47  Alimm1  KXHORMUZPEAK-26SEP20-T30          yes  1   canceled
1    09-17 16:00:47  Alimm1  KXHORMUZPEAK-26SEP20-T20          yes  1   canceled
1    09-17 16:00:46  Alimm1  KXHORMUZPEAK-26SEP20-T25          yes  1   canceled
2    09-20 17:24:47  pos     KXRAINLAXM-26SEP-1                no   -1  0.0000  
2    09-20 17:24:47  pos     KX30YMORTW-26SEP24-T7.01          yes  2   0.0000  
2    09-20 17:24:47  pos     KXAAAGASW-26SEP21-4.5200          no   -1  0.0000  
2    09-20 17:24:47  pos     KXPGATOUR-BICA26-RCAS             no   -1  0.0000  
2    09-20 17:24:47  pos     KXTRUMPSAY-26SEP21-PRED           no   -1  0.0000  
2    09-20 17:24:47  pos     KXTRUMPSAYNICKNAME-26OCT01-NUMB   no   -1  0.0000  
2    09-20 17:24:47  pos     KXWTI-26SEP1814-T98.99            no   -1  0.0000  
2    09-20 17:24:47  pos     KXETHD-26SEP2017-T2639.99         no   -1  0.0000  
2    09-20 17:24:47  pos     KXDIESELW-26SEP21-T6.52           yes  1   0.0000  
2    09-20 17:24:47  pos     KXBTCMAXMON-BTC-26SEP30-8750000   no   -1  0.0000  
2    09-20 17:24:47  pos     KXLOLGAME-26SEP201100MKOIG2-MKOI  no   -1  0.0000  
2    09-20 17:24:47  pos     KXBTCD-26SEP2517-T86999.99        no   -1  0.0000  
2    09-20 17:24:47  pos     KXBIGGESTQUAKE-17SEP26-7.0        yes  1   0.0000  
2    09-20 17:24:47  pos     KXBIGGESTQUAKE-17SEP26-6.8        yes  1   0.0000  
2    09-20 17:24:47  pos     KXRAIN-26SEP20-NOLA               no   -1  0.0000  
2    09-20 17:24:47  pos     KXRT-RES-97                       no   -1  0.0000  
2    09-20 17:24:47  pos     KXRT-RES-93                       no   -1  0.0000  
2    09-20 17:24:47  pos     KXRT-RES-94                       no   -1  0.0000  
2    09-20 17:24:47  pos     KXWTIMAX-26SEP30-T120.00          no   -1  0.0000  

(30 rows)
