# ops request [READ]
# type=db  id=limm-ci-1725c
# code 6bfcdfb18af60b6c37738488a6cbeadd05e0085f · started 2026-09-20T17:28:51Z
at_utc          balance_cents  residual  fills  setl  ptx    notes
--------------  -------------  --------  -----  ----  -----  -----
09-20 17:17:21  17124          0         0      0     false  null 
09-20 17:02:21  17124          0         1      0     false  null 
09-20 16:45:29  17218          0         0      0     false  null 
09-20 16:30:25  17218          0         0      1     false  null 
09-20 16:13:45  17118          0         0      0     false  null 
09-20 15:58:46  17118          0         0      1     false  null 
09-20 15:42:24  17018          0         1      0     false  null 
09-20 15:27:17  17111          0         0      0     false  null 

(8 rows)
