# ops request [READ]
# type=db  id=limm-ci-2341
# code b06b490fbd67c9a8eb7905d1dc18f558910d10ad · started 2026-09-25T23:41:54Z
created_at                        market_ticker               side  action  status    limit_price  quantity  coid                    
--------------------------------  --------------------------  ----  ------  --------  -----------  --------  ------------------------
2026-09-25 19:15:53.903398+00:00  KXAAAGASDPA-26SEP26-4.5550  yes   buy     canceled  2            11        8e0513f8-e51d-4553-9c85-
2026-09-25 19:15:53.961457+00:00  KXAAAGASDPA-26SEP26-4.5550  no    buy     canceled  89           11        a5810adf-e77f-4118-83f1-
2026-09-25 19:15:55.040399+00:00  KXAAAGASDCA-26SEP26-6.3150  yes   buy     canceled  20           50        3bd31da5-3ad0-456d-a67d-
2026-09-25 19:15:55.093189+00:00  KXAAAGASDCA-26SEP26-6.3150  no    buy     filled    10           50        6c0c354f-5d51-44d4-bfdb-
2026-09-25 21:23:57.365857+00:00  KXAAAGASDCA-26SEP26-6.3150  no    sell    filled    4            50        limmexit:stop_loss:46aa6
2026-09-25 21:28:00.947899+00:00  KXAAAGASDMD-26SEP26-4.3950  yes   buy     resting   2            18        aac34158-ad7e-421a-a962-
2026-09-25 21:28:01.000045+00:00  KXAAAGASDMD-26SEP26-4.3950  no    buy     resting   53           18        bc02d701-1f54-4c16-8bd7-
2026-09-25 23:18:36.658441+00:00  KXAAAGASDCO-26SEP26-4.2350  yes   buy     resting   12           35        c5f909a1-2341-420d-81bb-
2026-09-25 23:18:36.706598+00:00  KXAAAGASDCO-26SEP26-4.2350  no    buy     resting   28           35        aeec1767-f28e-4f23-b91a-

(9 rows)
