# ops request [READ]
# type=db  id=limm-close-2300
# code 39a8aebc5865abfc65c4752817676566efa9b2de · started 2026-09-20T00:23:49Z
market_ticker               status     prog_end                seen                         
--------------------------  ---------  ----------------------  -----------------------------
KXBIGGESTQUAKE-17SEP26-5.2  finalized  2026-09-17 09:14:23+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-5.4  finalized  2026-09-17 15:14:29+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-5.4  active     2026-09-17 23:59:59+00  2026-09-17 15:15:22.202119+00
KXBIGGESTQUAKE-17SEP26-5.6  finalized  2026-09-17 15:14:30+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-5.6  active     2026-09-17 23:59:59+00  2026-09-17 15:15:22.202119+00
KXBIGGESTQUAKE-17SEP26-5.8  active     2026-09-17 23:59:59+00  2026-09-17 15:15:22.202119+00
KXBIGGESTQUAKE-17SEP26-5.8  finalized  2026-09-17 15:14:30+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-6.0  active     2026-09-17 23:59:59+00  2026-09-17 15:15:22.202119+00
KXBIGGESTQUAKE-17SEP26-6.0  finalized  2026-09-17 15:14:30+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-6.2  active     2026-09-17 23:59:59+00  2026-09-17 15:15:22.202119+00
KXBIGGESTQUAKE-17SEP26-6.2  finalized  2026-09-17 15:14:30+00  2026-09-20 00:20:58.815961+00
KXBIGGESTQUAKE-17SEP26-6.4  finalized  2026-09-17 15:14:30+00  2026-09-20 00:20:58.815961+00

(12 rows)
