# ops request [READ]
# type=db  id=limm-dur-1
# code d3a09029f7b03f0d57ab46361ea0e6e743ccedc4 · started 2026-09-25T13:52:04Z
bucket                            n                    series
--------------------------------  -------------------  ------
a<1d                              707                  54    
b<3d                              300                  30    
c<5d                              355                  19    
d<14d                             1410                 129   
e<60d                             855                  84    
f>60d                             2657                 287   
past                              14                   3     
QUAKE:KXBIGGESTQUAKE-17SEP26-5.2  -8.1928441587615741  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-5.4  -7.9427747143171296  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-5.6  -7.9427631402430556  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-5.8  -7.9427631402430556  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-6.0  -7.9427631402430556  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-6.2  -7.9427631402430556  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-6.4  -7.9427631402430556  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-6.6  -7.5778441587615741  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-6.8  -7.5778441587615741  0     
QUAKE:KXBIGGESTQUAKE-17SEP26-7.0  -7.5778441587615741  0     

(17 rows)
