# ops request [READ]
# type=db  id=limm-earn-1
# code 82e3240bf821c010610610c25ec33d14e10d9a22 · started 2026-09-19T04:08:02Z
mkt                                 reward_period  px_cap  yes_depth  no_depth  rwd_per_day  share_qty1  our_usd_per_day
----------------------------------  -------------  ------  ---------  --------  -----------  ----------  ---------------
KXBWAYATTENDANCE-27MAY23B-14000000  500.0000       23      7          500       497.07       0.124378    61.82511       
KXRAINDNYC-260919-0                 500.0000       6       130        18        503.16       0.053390    26.86403       
KXMLBPLAYOFFS-26-CWS                500.0000       22      1          87        39.39        0.500000    19.69516       
KXWATECHEMP-27FEB28-T265000         500.0000       13      1316       28        497.07       0.034483    17.14048       
KXRT-RES-94                         100.0000       10      10         9         128.72       0.104932    13.50711       
KXBWAYATTENDANCE-27MAY23B-13750000  500.0000       18      45         305       497.07       0.021867    10.86975       
KXPADATACENTERS-26DEC31-T180        500.0000       8       54         45        497.07       0.021739    10.80595       
KXPJMEMERGENCY-26DEC31-T20          500.0000       18      204        1240      497.07       0.004877    2.42404        
KXMLBPLAYOFFHOST-26CHC-6            500.0000       10      67         125       103.54       0.014706    1.52265        
KXMLBPLAYOFFS-26-AZ                 500.0000       4       28         330       39.39        0.034483    1.35829        
KXMLBPLAYOFFS-26-CLE                500.0000       10      42         475       39.39        0.023256    0.91605        
KXMLBPLAYOFFHOST-26CHC-8            500.0000       7       148        125       103.54       0.007937    0.82175        
KXBWAYATTENDANCE-27MAY23B-13500000  500.0000       14      1802       642       497.07       0.001555    0.77305        
KXNETFLIXSTUDIO-PHASE1A-27SEP23     500.0000       21      1847       6660      497.07       0.000541    0.26894        
KXWAAEROEMP-27APR30-T83000          500.0000       18      12201      1887      497.07       0.000530    0.26324        
KXNYNJPORTTEU-27FEB28-T8.6          500.0000       11      4302       1950      497.07       0.000513    0.25478        
KXNJONTIME-26NOV30-T90              500.0000       16      5250       1992      497.07       0.000502    0.24937        
KXNYCASKRENT-27JAN31-T3900          500.0000       24      7051       2199      497.07       0.000455    0.22594        
KXBWAYATTENDANCE-27MAY23B-14800000  500.0000       18      3680       2314      497.07       0.000432    0.21469        
KXFLVISITORCOUNT-27FEB26-T144       500.0000       17      2316       7178      497.07       0.000432    0.21453        
KXNJPHARMAEMP-27APR30-T30300        500.0000       8       11193      2385      497.07       0.000419    0.20833        
KXRT-RES-93                         100.0000       1       642        5054      130.45       0.001555    0.20287        
KXNYSECEEMP-27APR30-T230400         500.0000       6       2563       11475     497.07       0.000390    0.19387        
KXMLBPLAYOFFS-26-SD                 500.0000       2       231        18760     39.39        0.004312    0.16987        
KXCAHPIYOY-27FEB23-T419.85          500.0000       19      9530       3082      497.07       0.000324    0.16121        

(25 rows)
