# ops request [READ]
# type=db  id=limm-held-2305
# code 39a8aebc5865abfc65c4752817676566efa9b2de · started 2026-09-20T00:24:28Z
g  a                           b       c                            
-  --------------------------  ------  -----------------------------
1  KXBIGGESTQUAKE-17SEP26-6.8  active  2026-09-17 23:55:54.10829+00 
1  KXBIGGESTQUAKE-17SEP26-6.8  closed  2026-09-20 00:20:58.815961+00
1  KXBIGGESTQUAKE-17SEP26-7.0  active  2026-09-17 23:55:54.10829+00 
1  KXBIGGESTQUAKE-17SEP26-7.0  closed  2026-09-20 00:20:58.815961+00
1  KXRT-RES-93                 active  2026-09-20 00:20:58.815961+00
1  KXRT-RES-94                 active  2026-09-20 00:20:58.815961+00
1  KXRT-RES-97                 active  2026-09-20 00:20:58.815961+00
2  KXBIGGESTQUAKE-17SEP26-6.8  1       2026-09-20 00:21:33.477077+00
2  KXBIGGESTQUAKE-17SEP26-7.0  1       2026-09-20 00:21:33.479091+00
2  KXRT-RES-93                 -1      2026-09-20 00:21:33.467371+00
2  KXRT-RES-94                 -1      2026-09-20 00:21:33.469463+00
2  KXRT-RES-97                 -1      2026-09-20 00:21:33.471433+00

(12 rows)
