# ops request [READ]
# type=db  id=limm-ledger-4
# code 9f59f60078a037938538fa30e193dc3f642476ff · started 2026-09-19T16:44:10Z
g  t                              k                        d                                                                                       
-  -----------------------------  -----------------------  ----------------------------------------------------------------------------------------
1  2026-09-19 16:31:09.765443+00  loop_error               balance: AttributeError: 'IncentiveReadOnlyKalshi' object has no attribute 'get_balance'
1  2026-09-19 16:16:21.444656+00  loop_error               balance: AttributeError: 'IncentiveReadOnlyKalshi' object has no attribute 'get_balance'
1  2026-09-19 16:16:05.996289+00  connected                connection 1                                                                            
1  2026-09-19 16:15:52.417841+00  thread_stopped           null                                                                                    
1  2026-09-19 16:15:39.567039+00  thread_started           null                                                                                    
1  2026-09-19 16:15:35.093912+00  thread_started           null                                                                                    
2  2026-09-19 16:41:09.428025+00  last_market_cap_reached  13                                                                                      
2  2026-09-19 16:41:09.417119+00  last_discovery           13                                                                                      
2  2026-09-19 16:31:09.765443+00  last_loop_error          2                                                                                       
2  2026-09-19 16:22:12.772794+00  last_seq_gap             2                                                                                       
2  2026-09-19 16:21:20.46718+00   last_snapshot_requested  1                                                                                       
2  2026-09-19 16:21:18.322873+00  last_unsubscribed        15                                                                                      
2  2026-09-19 16:16:06.036865+00  last_subscribed          3                                                                                       
2  2026-09-19 16:16:05.996289+00  last_connected           1                                                                                       
2  2026-09-19 16:15:52.417841+00  last_thread_stopped      1                                                                                       
2  2026-09-19 16:15:39.567039+00  last_thread_started      2                                                                                       

(16 rows)
