# ops request [READ]
# type=db  id=limm-paid-2
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T15:53:48Z
g  a                                     b               c                              d         e        f      h                            
-  ------------------------------------  --------------  -----------------------------  --------  -------  -----  -----------------------------
1  KXVOTECLARITY-26SEP15-T52             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  45.0000   1000.00  true   2026-09-18 15:50:22.250408+00
1  KXVOTECLARITY-26SEP15-T58             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  190.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXVOTECLARITY-26SEP15-T62             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  190.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXVOTECLARITY-26SEP15-T60             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  190.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXVOTECLARITY-26SEP15-T56             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  45.0000   1000.00  true   2026-09-18 15:50:22.250408+00
1  KXVOTECLARITY-26SEP15-T54             KXVOTECLARITY   2026-09-20 03:59:59.999999+00  45.0000   1000.00  true   2026-09-18 15:50:22.250408+00
1  KXEOWEEK-26SEP05-2                    KXEOWEEK        2026-09-19 14:00:00+00         333.3333  300.00   true   2026-09-18 15:50:22.250408+00
1  KXEOWEEK-26SEP05-0                    KXEOWEEK        2026-09-19 14:00:00+00         333.3333  300.00   true   2026-09-18 15:50:22.250408+00
1  KXFEAR-26SEP11-NEUT                   KXFEAR          2026-09-18 20:00:00+00         100.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXFEAR-26SEP11-XFEAR                  KXFEAR          2026-09-18 20:00:00+00         100.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXFEAR-26SEP11-GREE                   KXFEAR          2026-09-18 20:00:00+00         100.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXFEAR-26SEP11-XGREE                  KXFEAR          2026-09-18 20:00:00+00         100.0000  1000.00  true   2026-09-18 15:50:22.250408+00
1  KXTTSTARMATCH-26SEP180530TRELAM-TRE   KXTTSTARMATCH   2026-09-18 10:30:00+00         20.0000   300.00   true   2026-09-18 10:25:42.199006+00
1  KXTTELITEMATCH-26SEP180525KHEVOL-VOL  KXTTELITEMATCH  2026-09-18 10:25:00+00         20.0000   300.00   true   2026-09-18 10:20:42.018825+00
1  KXDOL-26SEPCOMP-3                     KXDOL           2026-09-18 01:16:40.688407+00  100.0000  1000.00  true   2026-09-18 01:16:05.53203+00 
1  KXDOL-26SEPCOMP-6                     KXDOL           2026-09-18 01:16:40.688407+00  100.0000  1000.00  true   2026-09-18 01:16:05.53203+00 
1  KXDOL-26SEPCOMP-4                     KXDOL           2026-09-18 01:16:40.688407+00  100.0000  1000.00  true   2026-09-18 01:16:05.53203+00 
1  KXDOL-26SEPCOMP-8                     KXDOL           2026-09-18 01:16:40.688407+00  100.0000  1000.00  true   2026-09-18 01:16:05.53203+00 
1  KXDOL-26SEPCOMP-7                     KXDOL           2026-09-18 01:16:40.688407+00  100.0000  1000.00  true   2026-09-18 01:16:05.53203+00 
1  KXTTELITEMATCH-26SEP171345JLAGKU-GKU  KXTTELITEMATCH  2026-09-17 18:45:00+00         20.0000   300.00   true   2026-09-17 18:42:57.703876+00
1  KXTTELITEMATCH-26SEP171345GMIZNO-ZNO  KXTTELITEMATCH  2026-09-17 18:45:00+00         20.0000   300.00   true   2026-09-17 18:42:57.703876+00
1  KXTTELITEMATCH-26SEP171340MLUAMU-MLU  KXTTELITEMATCH  2026-09-17 18:40:00+00         20.0000   300.00   true   2026-09-17 18:37:56.715235+00
1  KXTTELITEMATCH-26SEP171240KSLMBA-MBA  KXTTELITEMATCH  2026-09-17 17:40:00+00         20.0000   300.00   true   2026-09-17 17:37:39.234059+00
2  KXYTVIEWSHIGH-POS26OCT-8.75M          KXYTVIEWSHIGH   2026-10-01 22:32:13.341319+00  100.0000  1000.00  false  2026-09-18 15:50:22.250408+00
2  KXTRUMPAPPROVE-26SEP18-E39.4          KXTRUMPAPPROVE  2026-09-18 16:59:00+00         300.0000  1000.00  false  2026-09-18 15:50:22.250408+00
2  KXTRUMPAPPROVE-26SEP18-E39.4          KXTRUMPAPPROVE  2026-09-18 14:02:23.19924+00   100.0000  1000.00  false  2026-09-18 13:58:04.277839+00
2  KXUSLEI-26SEP18-T0.2                  KXUSLEI         2026-09-18 13:59:00+00         125.0000  1000.00  false  2026-09-18 13:58:04.277839+00
2  KXAAAGASDAZ-26SEP18-4.6800            KXAAAGASDAZ     2026-09-18 03:59:00+00         100.0000  1000.00  false  2026-09-18 03:55:02.0565+00  
2  KXBIGGESTQUAKE-17SEP26-6.8            KXBIGGESTQUAKE  2026-09-17 23:59:59+00         50.0000   500.00   false  2026-09-17 23:55:54.10829+00 
2  KXBIGGESTQUAKE-17SEP26-7.0            KXBIGGESTQUAKE  2026-09-17 23:59:59+00         50.0000   500.00   false  2026-09-17 23:55:54.10829+00 
2  KXYTVIEWSHIGH-POS26OCT-8.75M          KXYTVIEWSHIGH   2026-09-17 22:25:00+00         100.0000  1000.00  false  2026-09-17 22:20:42.246376+00

(31 rows)
