# ops request [READ]
# type=db  id=limm-pnl-2
# code d3a09029f7b03f0d57ab46361ea0e6e743ccedc4 · started 2026-09-25T02:51:02Z
market_ticker                      quantity  realized_pnl  last_seen  
---------------------------------  --------  ------------  -----------
KXBIGGESTQUAKE-17SEP26-6.8         1         0.0000        09-25 02:47
KXBIGGESTQUAKE-17SEP26-7.0         1         0.0000        09-25 02:47
KXBIGGESTQUAKE-21SEP26-6.4         1         0.0000        09-22 12:39
KXEARNINGSMENTIONCOST-26SEP24-REV  -1        0.0000        09-25 02:47
KXRT-RES-93                        0         -0.0300       09-21 15:17
KXRT-RES-94                        0         -0.1000       09-21 15:17
KXTRUMPAPPROVE-26SEP18-E39.4       0         -0.0100       09-18 17:32
KXTRUMPMENTIONB-26SEP24-BOEI       1         0.0000        09-25 02:47
KXUSLEI-26SEP18-T0.2               0         -0.0500       09-18 14:47

(9 rows)
