# ops request [READ]
# type=db  id=limm-pnl-3
# code d3a09029f7b03f0d57ab46361ea0e6e743ccedc4 · started 2026-09-25T02:51:35Z
market_ticker                      side  quantity  limit_price  status  dollars
---------------------------------  ----  --------  -----------  ------  -------
KXBIGGESTQUAKE-17SEP26-6.8         yes   1         1            filled  0.01   
KXBIGGESTQUAKE-17SEP26-7.0         yes   1         1            filled  0.01   
KXUSLEI-26SEP18-T0.2               yes   1         5            filled  0.05   
KXTRUMPAPPROVE-26SEP18-E39.4       yes   1         1            filled  0.01   
KXRT-RES-93                        no    1         3            filled  0.03   
KXRT-RES-94                        no    1         10           filled  0.10   
KXBIGGESTQUAKE-21SEP26-6.4         yes   1         2            filled  0.02   
KXEARNINGSMENTIONCOST-26SEP24-REV  no    1         17           filled  0.17   
KXTRUMPMENTIONB-26SEP24-BOEI       yes   1         5            filled  0.05   

(9 rows)
