# ops request [READ]
# type=db  id=limm-post439-2025
# code edccc226312d15186bfe25cc5ba4914f4920b1f1 · started 2026-09-19T20:21:27Z
g  t                              b       c                             d     e      f     
-  -----------------------------  ------  ----------------------------  ----  -----  ------
1  2026-09-19 20:15:33.640312+00  ledger  17252                         0     false  0     
1  2026-09-19 19:59:49.054261+00  ledger  17252                         -186  true   1     
1  2026-09-19 19:44:24.56416+00   ledger  17345                         0     false  0     
1  2026-09-19 19:33:19.878215+00  ledger  17245                         0     false  0     
1  2026-09-19 19:17:13.250617+00  ledger  17245                         0     false  0     
1  2026-09-19 18:59:53.358712+00  ledger  17245                         -188  true   1     
1  2026-09-19 18:41:46.142614+00  ledger  17339                         0     false  0     
1  2026-09-19 18:25:23.058173+00  ledger  17139                         -186  true   1     
2  2026-09-19 20:17:35.786979+00  evt     market_cap_reached            18    -      -     
2  2026-09-19 20:17:35.77077+00   evt     discovery                     18    -      -     
2  2026-09-19 19:42:30.646043+00  evt     subscribed                    3     -      -     
2  2026-09-19 19:42:30.587168+00  evt     connected                     1     -      -     
2  2026-09-19 19:41:56.62074+00   evt     disconnected                  1     -      -     
2  2026-09-19 19:41:52.731244+00  evt     thread_started                1     -      -     
3  2026-09-18 18:21:03.428944+00  alimm   KXRT-RES-94                   no    10     filled
3  2026-09-18 17:33:50.712585+00  alimm   KXRT-RES-93                   no    3      filled
3  2026-09-18 14:48:49.863864+00  alimm   KXTRUMPAPPROVE-26SEP18-E39.4  yes   1      filled
4  2026-09-19 20:19:18.72283+00   pos     KXBIGGESTQUAKE-17SEP26-7.0    yes   1      0.0000
4  2026-09-19 20:19:18.7201+00    pos     KXBIGGESTQUAKE-17SEP26-6.8    yes   1      0.0000
4  2026-09-19 20:19:18.712147+00  pos     KXRT-RES-97                   no    -1     0.0000
4  2026-09-19 20:19:18.7094+00    pos     KXRT-RES-94                   no    -1     0.0000
4  2026-09-19 20:19:18.706531+00  pos     KXRT-RES-93                   no    -1     0.0000
4  2026-09-19 20:13:33.205568+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes   1      0.0000

(23 rows)
