# ops request [READ]
# type=db  id=limm-quiet-2250
# code 39a8aebc5865abfc65c4752817676566efa9b2de · started 2026-09-19T22:46:32Z
g  t                              b          c                                        d    e   f       
-  -----------------------------  ---------  ---------------------------------------  ---  --  --------
1  2026-09-19 21:15:11.015755+00  Fmmsell10  KXMLBTOTAL-26SEP191610BOSTB-12           no   93  resting 
1  2026-09-19 20:48:44.205922+00  Fmmsell10  KXMLBHR-26SEP191610PHINYM-PHIBMARSH16-1  no   93  resting 
1  2026-09-19 20:17:03.430782+00  Fmmsell10  KXMLBHR-26SEP191605MILBAL-MILCPRATT87-1  no   94  canceled
1  2026-09-19 19:27:02.274376+00  Fmmsell10  KXMLBTOTAL-26SEP191910DETCWS-13          no   93  filled  
1  2026-09-19 18:56:38.419348+00  Fmmsell10  KXWNBATOTAL-26SEP19PHXDAL-175            no   94  filled  
1  2026-09-19 18:07:41.965324+00  Fmmsell10  KXEPLGAME-26SEP19NFOCOV-NFO              no   93  filled  
2  2026-09-19 22:43:00.550182+00  evt        market_cap_reached                       38   -   -       
2  2026-09-19 22:43:00.538443+00  evt        discovery                                38   -   -       
2  2026-09-19 22:33:07.001344+00  evt        seq_gap                                  3    -   -       
2  2026-09-19 22:32:57.615411+00  evt        snapshot_requested                       1    -   -       
2  2026-09-19 22:32:55.112215+00  evt        unsubscribed                             19   -   -       
2  2026-09-19 21:12:39.289869+00  evt        subscribed                               9    -   -       
2  2026-09-19 21:12:39.251306+00  evt        connected                                3    -   -       
2  2026-09-19 21:12:11.546273+00  evt        thread_started                           2    -   -       
2  2026-09-19 21:12:02.612728+00  evt        disconnected                             3    -   -       
3  2026-09-19 22:43:01.304564+00  pos        KXWTIW-26SEP1814-B96.50                  no   -1  0.0000  
3  2026-09-19 22:43:01.302824+00  pos        KXAAAGASW-26SEP21-4.5200                 no   -1  0.0000  
3  2026-09-19 22:43:01.30105+00   pos        KXTRUMPSAY-26SEP21-PRED                  no   -1  0.0000  
3  2026-09-19 22:43:01.299112+00  pos        KXRAINLAXM-26SEP-1                       no   -1  0.0000  
3  2026-09-19 22:43:01.297051+00  pos        KXWTIMAX-26SEP30-T120.00                 no   -1  0.0000  
3  2026-09-19 22:43:01.295052+00  pos        KXBTCMAXMON-BTC-26SEP30-8750000          no   -1  0.0000  
3  2026-09-19 22:43:01.293148+00  pos        KXBIGGESTQUAKE-17SEP26-7.0               yes  1   0.0000  
3  2026-09-19 22:43:01.288256+00  pos        KXBIGGESTQUAKE-17SEP26-6.8               yes  1   0.0000  

(23 rows)
