# ops request [READ]
# type=db  id=limm-recon-1820
# code 9cefbe102ca6d7f7f9a69fd4d8a18136cd05a915 · started 2026-09-19T18:09:43Z
g  t                              b          c                                       d                                                             e     f      
-  -----------------------------  ---------  --------------------------------------  ------------------------------------------------------------  ----  -------
1  2026-09-19 18:07:41.965324+00  Fmmsell10  KXEPLGAME-26SEP19NFOCOV-NFO             no                                                            93    resting
1  2026-09-19 17:34:43.757908+00  Fmmsell10  KXWTACHALLENGERMATCH-26SEP19HERKAB-KAB  no                                                            94    filled 
1  2026-09-19 17:33:50.087909+00  Fmmsell10  KXLALIGAGAME-26SEP19RCCSAN-TIE          no                                                            90    filled 
2  2026-09-19 18:05:26.139824+00  pos        KXBIGGESTQUAKE-17SEP26-7.0              yes                                                           1     0.0000 
2  2026-09-19 18:05:26.137453+00  pos        KXBIGGESTQUAKE-17SEP26-6.8              yes                                                           1     0.0000 
2  2026-09-19 18:05:26.131023+00  pos        KXRT-RES-97                             no                                                            -1    0.0000 
2  2026-09-19 18:05:26.128809+00  pos        KXRT-RES-94                             no                                                            -1    0.0000 
2  2026-09-19 18:05:26.126415+00  pos        KXRT-RES-93                             no                                                            -1    0.0000 
2  2026-09-19 18:04:48.081747+00  pos        KXBIGGESTQUAKE-17SEP26-7.0              yes                                                           1     0.0000 
2  2026-09-19 18:04:48.079904+00  pos        KXBIGGESTQUAKE-17SEP26-6.8              yes                                                           1     0.0000 
2  2026-09-19 18:04:48.07217+00   pos        KXRT-RES-97                             no                                                            -1    0.0000 
3  2026-09-19 18:07:11.740993+00  obs        notes                                   null                                                          0     0      
3  2026-09-19 18:03:42.741858+00  obs        notes                                   null                                                          0     0      
3  2026-09-19 17:48:10.785398+00  obs        notes                                   null                                                          -184  2      
3  2026-09-19 17:32:59.855071+00  obs        notes                                   null                                                          0     0      
3  2026-09-19 17:27:16.055159+00  obs        notes                                   null                                                          0     0      
3  2026-09-19 17:11:00.151617+00  obs        notes                                   {"anchor": "first observation; no previous balance to differ        -      

(17 rows)
