# ops request [READ]
# type=db  id=limm-settle-json-2
# code 286a35902fb6c2f1e4bc0497b32ffd8e3ff936d5 · started 2026-09-26T17:19:38Z
key                     value                        
----------------------  -----------------------------
value                   100                          
ticker                  "KXAAAGASDCO-26SEP26-4.2350" 
revenue                 0                            
fee_cost                "0.098900"                   
no_count_fp             "35.00"                      
event_ticker            "KXAAAGASDCO-26SEP26"        
settled_time            "2026-09-26T11:06:46.501194Z"
yes_count_fp            "16.00"                      
market_result           "yes"                        
exchange_index          0                            
no_total_cost_dollars   "9.800000"                   
yes_total_cost_dollars  "14.430000"                  

(12 rows)
