# ops request [READ]
# type=db  id=limm-status-0924k
# code 94424a42333b735184c9af54262b9540ff2d8a5b · started 2026-09-24T13:49:18Z
sec  a               c                           d             e       
---  --------------  --------------------------  ------------  --------
1    09-21 21:02:26  KXBIGGESTQUAKE-21SEP26-6.4  yes           filled  
1    09-21 16:17:28  KXHORMUZPEAK-26SEP20-T10    yes           canceled
2    09-24 13:48:58  KXBIGGESTQUAKE-17SEP26-6.8  yes 1         0.0000  
2    09-24 13:48:58  KXBIGGESTQUAKE-17SEP26-7.0  yes 1         0.0000  
2    09-22 12:39:34  KXBIGGESTQUAKE-21SEP26-6.4  yes 1         0.0000  
3    09-24 13:47:39  ledger                      11307c res=0  null    
3    09-24 13:33:31  ledger                      11400c res=0  null    
3    09-24 13:17:48  ledger                      11400c res=0  null    
3    09-24 13:02:42  ledger                      11300c res=0  null    
3    09-24 12:47:42  ledger                      11300c res=0  null    
3    09-24 12:31:46  ledger                      11300c res=0  null    
3    09-24 12:14:10  ledger                      11300c res=0  null    
3    09-24 11:57:40  ledger                      11294c res=0  null    
3    09-24 11:40:03  ledger                      11294c res=0  null    
3    09-24 11:23:16  ledger                      11384c res=0  null    
3    09-24 11:05:33  ledger                      11474c res=0  null    
3    09-24 10:46:27  ledger                      11568c res=0  null    
3    09-24 10:30:22  ledger                      11568c res=0  null    
3    09-24 10:13:13  ledger                      11568c res=0  null    
3    09-24 09:57:47  ledger                      11568c res=0  null    

(20 rows)
