# ops request [READ]
# type=db  id=limm-target-size-2
# code d3a09029f7b03f0d57ab46361ea0e6e743ccedc4 · started 2026-09-25T04:24:52Z
market_ticker                         target_size  period_reward_usd  ends 
------------------------------------  -----------  -----------------  -----
KXTTELITEMATCH-26SEP250050KKADKO-DKO  300.00       20.0000            09-25
KXTTELITEMATCH-26SEP250050PADLMA-PAD  300.00       20.0000            09-25
KXTTELITEMATCH-26SEP250050PADLMA-LMA  300.00       20.0000            09-25
KXTTELITEMATCH-26SEP250050KKADKO-KKA  300.00       20.0000            09-25
KXPALLADIUM15M-26SEP250030-30         300.00       20.0000            09-25
KXUSDJPY15M-26SEP250030-30            300.00       20.0000            09-25
KXGBPUSD15M-26SEP250030-30            300.00       20.0000            09-25
KXPLATINUM15M-26SEP250030-30          300.00       20.0000            09-25
KXCRYPTOLEAD15M-26SEP250030-BTC       1000.00      20.0000            09-25
KXEURUSD15M-26SEP250030-30            300.00       20.0000            09-25
KXCRYPTOLEAD15M-26SEP250030-XRP       1000.00      20.0000            09-25
KXCRYPTOLEAD15M-26SEP250030-ETH       1000.00      20.0000            09-25
KXCRYPTOLEAD15M-26SEP250030-SOL       1000.00      20.0000            09-25
KXNATGAS15M-26SEP250030-30            300.00       20.0000            09-25
KXCRYPTOLEAD15M-26SEP250030-HYPE      1000.00      20.0000            09-25

(15 rows)
