# ops request [READ]
# type=db  id=limm-tick-1528
# code 3f24a3aab2b5d02583785cb95e9e3843ba39b921 · started 2026-09-25T15:28:26Z
sec  a            b                                  c        d        e     f                       
---  -----------  ---------------------------------  -------  -------  ----  ------------------------
1    09-25 14:27  KXEARNINGSMENTIONCOST-26SEP24-REV  no/sell  filled   1@97  limmexit:take_profit:f87
2    09-25 15:19  11838                              res=0    f=0 s=1        null                    
2    09-25 15:02  11738                              res=0    f=1 s=1        null                    
2    09-25 14:44  11731                              res=100  f=2 s=0        null                    
2    09-25 14:27  11726                              res=0    f=0 s=0        null                    
2    09-25 14:15  11726                              res=0    f=0 s=0        null                    
2    09-25 14:05  11726                              res=0    f=0 s=0        null                    
2    09-25 14:03  11726                              res=0    f=1 s=0        null                    
2    09-25 13:44  11819                              res=0    f=0 s=0        null                    
2    09-25 13:26  11819                              res=0    f=0 s=0        null                    
2    09-25 13:11  11819                              res=0    f=0 s=2        null                    

(11 rows)
