# ops request [READ]
# type=db  id=limm-topmarkets-1
# code 97ffd7a67b4b915c9778f19474285f5a0f782d91 · started 2026-09-18T03:10:14Z
market_ticker                  reward_per_period  target   end_date                          hours_left  title                                                                                                                                                                                  
-----------------------------  -----------------  -------  --------------------------------  ----------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
KXTXERCOTPEAK-27JAN01-T93000   500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will integrated system load on the ERCOT grid during 2026 get above 93,000 MW?                                                                                                         
KXWAAEROEMP-27APR30-T88000     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington’s annual-average employment in Aerospace Product and Parts Manufacturing for 2026 be above 88,000 jobs?                                                                
KXWAAEROEMP-27APR30-T87000     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington’s annual-average employment in Aerospace Product and Parts Manufacturing for 2026 be above 87,000 jobs?                                                                
KXWAAEROEMP-27APR30-T86000     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington’s annual-average employment in Aerospace Product and Parts Manufacturing for 2026 be above 86,000 jobs?                                                                
KXWATECHEMP-27FEB28-T255000    500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington statewide seasonally adjusted employment in Professional, Scientific, and Technical Services for December 2026 be above 255,000 jobs?                                  
KXCAFAIRPLAN-26NOV16-T680000   500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will total FAIR Plan policies in force on September 30, 2026 be above 680,000?                                                                                                         
KXPJMEMERGENCY-26DEC31-T25     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will the number of calendar days on which an RTO-wide PJM Maximum Generation Emergency/Load Management Alert – Capacity Emergency – NERC EEA 1 was applicable in 2026 be above 25 days?
KXWATECHEMP-27FEB28-T245000    500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington statewide seasonally adjusted employment in Professional, Scientific, and Technical Services for December 2026 be above 245,000 jobs?                                  
KXTXERCOTPEAK-27JAN01-T92500   500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will integrated system load on the ERCOT grid during 2026 get above 92,500 MW?                                                                                                         
KXWAAEROEMP-27APR30-T85000     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Washington’s annual-average employment in Aerospace Product and Parts Manufacturing for 2026 be above 85,000 jobs?                                                                
KXWALLSTBONUS-27MAR31-T225000  500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will average Wall Street bonus for 2026 be above $225,000?                                                                                                                             
KXNYNJPORTTEU-27FEB28-T9.1     500.00             1000.00  2026-09-18 15:31:55.723940+00:00  12.4        Will Port of New York and New Jersey total TEUs handled in 2026 be above 9.1 million TEUs?                                                                                             

(12 rows)
