# ops request [READ]
# type=db  id=limm-twin-2
# code dc8864849efe85fc9d10cb40d5c69e69a2412a9d · started 2026-09-18T00:28:25Z
created_at                        market_ticker                 side  price  qty  status          fees    pnl      fill_assumption                             
--------------------------------  ----------------------------  ----  -----  ---  --------------  ------  -------  --------------------------------------------
2026-09-18 00:08:31.301059+00:00  KXAAAGASDAZ-26SEP18-4.6800    yes   1      1    open            0.0002  -        [Alimm1_pt3] twin of incentive bid yes@1c x1
2026-09-17 20:04:28.475386+00:00  KXYTVIEWSHIGH-POS26OCT-8.75M  yes   4      1    abandoned       0.0007  -        [Alimm1_pt3] twin of incentive bid yes@4c x1
2026-09-17 20:04:27.846055+00:00  KXBIGGESTQUAKE-17SEP26-7.0    yes   1      1    abandoned       0.0002  -        [Alimm1_pt3] twin of incentive bid yes@1c x1
2026-09-17 20:04:27.150231+00:00  KXBIGGESTQUAKE-17SEP26-6.8    yes   1      1    abandoned       0.0002  -        [Alimm1_pt3] twin of incentive bid yes@1c x1
2026-09-17 16:00:47.963046+00:00  KXHORMUZPEAK-26SEP20-T20      yes   3      1    closed_timeout  0.0105  -0.0105  [Alimm1_pt3] twin of incentive bid yes@3c x1
2026-09-17 16:00:47.263539+00:00  KXHORMUZPEAK-26SEP20-T30      yes   1      1    closed_timeout  0.0102  -0.0102  [Alimm1_pt3] twin of incentive bid yes@1c x1
2026-09-17 16:00:46.688471+00:00  KXHORMUZPEAK-26SEP20-T25      yes   1      1    closed_timeout  0.0102  -0.0102  [Alimm1_pt3] twin of incentive bid yes@1c x1

(7 rows)
