# ops request [READ]
# type=db  id=limm-watch-0255
# code 39a8aebc5865abfc65c4752817676566efa9b2de · started 2026-09-20T02:51:35Z
g  t                              b       c                             d    e    f     
-  -----------------------------  ------  ----------------------------  ---  ---  ------
1  2026-09-18 18:21:03.428944+00  alimm   KXRT-RES-94                   no   10   filled
1  2026-09-18 17:33:50.712585+00  alimm   KXRT-RES-93                   no   3    filled
1  2026-09-18 14:48:49.863864+00  alimm   KXTRUMPAPPROVE-26SEP18-E39.4  yes  1    filled
2  2026-09-20 02:48:55.891131+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1    0.0000
2  2026-09-20 02:48:55.889843+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1    0.0000
2  2026-09-20 02:48:55.885706+00  pos     KXRT-RES-97                   no   -1   0.0000
2  2026-09-20 02:48:55.884279+00  pos     KXRT-RES-94                   no   -1   0.0000
2  2026-09-20 02:48:55.882971+00  pos     KXRT-RES-93                   no   -1   0.0000
3  2026-09-20 02:50:50.59845+00   ledger  16917                         0    187  null  
3  2026-09-20 02:35:09.307692+00  ledger  17104                         0    94   null  
3  2026-09-20 02:17:22.376118+00  ledger  17198                         0    187  null  
3  2026-09-20 02:00:40.057887+00  ledger  17385                         0    94   null  
3  2026-09-20 01:45:21.933066+00  ledger  17279                         0    94   null  

(13 rows)
