# ops request [READ]
# type=db  id=limm-watch-0500
# code bb7c6a1e5e0a09c6b94a8c86f0939195e9633364 · started 2026-09-20T04:56:11Z
g  t                              b       c                             d    e    f     
-  -----------------------------  ------  ----------------------------  ---  ---  ------
1  2026-09-18 18:21:03.428944+00  alimm   KXRT-RES-94                   no   10   filled
1  2026-09-18 17:33:50.712585+00  alimm   KXRT-RES-93                   no   3    filled
1  2026-09-18 14:48:49.863864+00  alimm   KXTRUMPAPPROVE-26SEP18-E39.4  yes  1    filled
2  2026-09-20 04:51:27.002766+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1    0.0000
2  2026-09-20 04:51:27.000939+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1    0.0000
2  2026-09-20 04:51:26.996563+00  pos     KXRT-RES-97                   no   -1   0.0000
2  2026-09-20 04:51:26.992887+00  pos     KXRT-RES-94                   no   -1   0.0000
2  2026-09-20 04:51:26.991467+00  pos     KXRT-RES-93                   no   -1   0.0000
3  2026-09-20 04:47:33.851361+00  ledger  17258                         0    0    null  
3  2026-09-20 04:31:01.958735+00  ledger  17158                         0    0    null  
3  2026-09-20 04:12:55.21068+00   ledger  16858                         0    280  null  
3  2026-09-20 03:56:12.313131+00  ledger  17038                         0    0    null  
3  2026-09-20 03:51:06.70209+00   ledger  17038                         0    93   null  

(13 rows)
