# ops request [READ]
# type=db  id=limm-watch-0910
# code bb7c6a1e5e0a09c6b94a8c86f0939195e9633364 · started 2026-09-20T09:06:08Z
g  t                              b       c                             d    e   f     
-  -----------------------------  ------  ----------------------------  ---  --  ------
1  2026-09-18 18:21:03.428944+00  alimm   KXRT-RES-94                   no   10  filled
1  2026-09-18 17:33:50.712585+00  alimm   KXRT-RES-93                   no   3   filled
1  2026-09-18 14:48:49.863864+00  alimm   KXTRUMPAPPROVE-26SEP18-E39.4  yes  1   filled
2  2026-09-20 09:04:35.197213+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   0.0000
2  2026-09-20 09:04:35.192961+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   0.0000
2  2026-09-20 09:04:35.185836+00  pos     KXRT-RES-97                   no   -1  0.0000
2  2026-09-20 09:04:35.183865+00  pos     KXRT-RES-94                   no   -1  0.0000
2  2026-09-20 09:04:35.18224+00   pos     KXRT-RES-93                   no   -1  0.0000
3  2026-09-20 09:03:33.429959+00  ledger  17371                         0    0   null  
3  2026-09-20 08:47:08.846911+00  ledger  17371                         0    0   null  
3  2026-09-20 08:31:43.583775+00  ledger  17271                         0    93  null  
3  2026-09-20 08:15:26.830324+00  ledger  17364                         0    0   null  

(12 rows)
