# ops request [READ]
# type=db  id=limm-watch-10
# code 97ffd7a67b4b915c9778f19474285f5a0f782d91 · started 2026-09-18T05:04:29Z
ends                    market_ticker                         series           reward   tgt    
----------------------  ------------------------------------  ---------------  -------  -------
2026-09-18 05:10:00+00  KXTTELITEMATCH-26SEP180010JPRWBA-WBA  KXTTELITEMATCH   20.0000  300.00 
2026-09-18 05:10:00+00  KXTTELITEMATCH-26SEP180010PADJNO-JNO  KXTTELITEMATCH   20.0000  300.00 
2026-09-18 05:10:00+00  KXTTELITEMATCH-26SEP180010AGRJZA-JZA  KXTTELITEMATCH   20.0000  300.00 
2026-09-18 05:15:00+00  KXPLATINUM15M-26SEP180115-15          KXPLATINUM15M    20.0000  300.00 
2026-09-18 05:15:00+00  KXCRYPTOLEAD15M-26SEP180115-ETH       KXCRYPTOLEAD15M  20.0000  1000.00
2026-09-18 05:15:00+00  KXNATGAS15M-26SEP180115-15            KXNATGAS15M      20.0000  300.00 
2026-09-18 05:15:00+00  KXCRYPTOLEAD15M-26SEP180115-HYPE      KXCRYPTOLEAD15M  20.0000  1000.00
2026-09-18 05:15:00+00  KXGOLD15M-26SEP180115-15              KXGOLD15M        20.0000  300.00 
2026-09-18 05:15:00+00  KXCRYPTOLEAD15M-26SEP180115-SOL       KXCRYPTOLEAD15M  20.0000  1000.00
2026-09-18 05:15:00+00  KXCRYPTOLEAD15M-26SEP180115-XRP       KXCRYPTOLEAD15M  20.0000  1000.00
2026-09-18 05:15:00+00  KXPALLADIUM15M-26SEP180115-15         KXPALLADIUM15M   20.0000  300.00 
2026-09-18 05:15:00+00  KXCOPPER15M-26SEP180115-15            KXCOPPER15M      20.0000  300.00 

(12 rows)
