# ops request [READ]
# type=db  id=limm-watch-11
# code 67ef340a87d62c330f9ce392410fdab4ff4a7259 · started 2026-09-18T08:04:10Z
created                        market_ticker                 side  px  status    reason 
-----------------------------  ----------------------------  ----  --  --------  -------
2026-09-18 06:00:04.793171+00  KXUSLEI-26SEP18-T0.2          yes   5   filled    -      
2026-09-18 00:08:31.254676+00  KXAAAGASDAZ-26SEP18-4.6800    yes   1   canceled  -      
2026-09-17 20:04:28.435148+00  KXYTVIEWSHIGH-POS26OCT-8.75M  yes   4   canceled  timeout
2026-09-17 20:04:27.804563+00  KXBIGGESTQUAKE-17SEP26-7.0    yes   1   filled    -      
2026-09-17 20:04:27.108789+00  KXBIGGESTQUAKE-17SEP26-6.8    yes   1   filled    -      
2026-09-17 16:00:47.920037+00  KXHORMUZPEAK-26SEP20-T20      yes   3   canceled  timeout
2026-09-17 16:00:47.221295+00  KXHORMUZPEAK-26SEP20-T30      yes   1   canceled  timeout
2026-09-17 16:00:46.645547+00  KXHORMUZPEAK-26SEP20-T25      yes   1   canceled  timeout

(8 rows)
