# ops request [READ]
# type=db  id=limm-watch-12
# code 67ef340a87d62c330f9ce392410fdab4ff4a7259 · started 2026-09-18T10:40:03Z
g  t                              c2         c3                                          c4      c5  c6        c7                                                                                                                                                     
-  -----------------------------  ---------  ------------------------------------------  ------  --  --------  -------------------------------------------------------------------------------------------------------------------------------------------------------
1  2026-09-18 09:32:59.326608+00  Fmmsell10  KXNASDAQ100U-26SEP18H1600-T29869.99         no      93  resting   -                                                                                                                                                      
1  2026-09-18 09:32:36.0659+00    Fmmsell10  KXITFWMATCH-26SEP18OKTPAO-PAO               no      93  rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}
1  2026-09-18 09:02:04.837634+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB             no      93  resting   -                                                                                                                                                      
1  2026-09-18 09:01:59.267298+00  Fmmsell10  KXWTACHALLENGERMATCH-26SEP17SOBSAM-SOB      no      94  filled    -                                                                                                                                                      
1  2026-09-18 06:46:04.493317+00  Fmmsell10  KXITFMATCH-26SEP18DUHHUR-DUH                no      93  filled    -                                                                                                                                                      
1  2026-09-18 06:00:04.793171+00  Alimm1     KXUSLEI-26SEP18-T0.2                        yes     5   filled    -                                                                                                                                                      
1  2026-09-18 04:42:55.688979+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB             no      93  canceled  timeout                                                                                                                                                
1  2026-09-18 04:12:07.925825+00  Fmmsell10  KXITFMATCH-26SEP17TANFER-TAN                no      93  filled    -                                                                                                                                                      
1  2026-09-18 03:39:46.694407+00  Fmmsell10  KXWNBASPREAD-26SEP17PHXPDX-PDX12            no      93  canceled  -                                                                                                                                                      
1  2026-09-18 01:45:58.632102+00  Fmmsell10  KXMLBHR-26SEP172138MINLAA-MINVCARATINI37-1  no      93  filled    -                                                                                                                                                      
1  2026-09-18 01:45:37.748541+00  Fmmsell10  KXMLBTOTAL-26SEP172005BOSTEX-12             no      91  filled    -                                                                                                                                                      
1  2026-09-18 01:12:31.987797+00  Fmmsell10  KXWNBAGAME-26SEP17WSHCHI-CHI                no      91  canceled  -                                                                                                                                                      
1  2026-09-18 00:08:31.254676+00  Alimm1     KXAAAGASDAZ-26SEP18-4.6800                  yes     1   canceled  -                                                                                                                                                      
1  2026-09-18 00:04:25.883661+00  Fmmsell10  KXATPCHALLENGERMATCH-26SEP17ZHESVA-SVA      no      93  filled    -                                                                                                                                                      
1  2026-09-17 23:34:37.34287+00   Fmmsell10  KXWNBAGAME-26SEP17CONNATL-CONN              no      93  filled    -                                                                                                                                                      
1  2026-09-17 23:04:40.208666+00  Fmmsell10  KXMLBHR-26SEP171940DETCWS-CWSCMEIDROTH10-1  no      93  filled    -                                                                                                                                                      
1  2026-09-17 22:33:00.674735+00  Fmmsell10  KXMLBHR-26SEP171915KCHOU-KCKISBEL28-1       no      93  filled    -                                                                                                                                                      
1  2026-09-17 22:32:22.736722+00  Fmmsell10  KXWTASETWINNER-26SEP17LYSPOD-2-LYS          no      94  filled    -                                                                                                                                                      
1  2026-09-17 21:17:26.289153+00  Fmmsell10  KXMLBHR-26SEP171915PHINYM-PHILARRAEZ1-1     no      93  canceled  timeout                                                                                                                                                
1  2026-09-17 21:17:06.423008+00  Fmmsell10  KXITFMATCH-26SEP17CUNSAK-CUN                no      93  filled    -                                                                                                                                                      
2  2026-09-18 10:37:52.492114+00  pos        KXBIGGESTQUAKE-17SEP26-7.0                  1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 10:37:52.489978+00  pos        KXBIGGESTQUAKE-17SEP26-6.8                  1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 10:37:52.487374+00  pos        KXUSLEI-26SEP18-T0.2                        5.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 10:35:16.67761+00   pos        KXBIGGESTQUAKE-17SEP26-7.0                  1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 10:35:16.675116+00  pos        KXBIGGESTQUAKE-17SEP26-6.8                  1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 10:35:16.672031+00  pos        KXUSLEI-26SEP18-T0.2                        5.0000  1   0.0000    -                                                                                                                                                      

(26 rows)
