# ops request [READ]
# type=db  id=limm-watch-13
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T13:13:30Z
g  t                              c2         c3                                      c4      c5  c6        c7                                                                                                                                                     
-  -----------------------------  ---------  --------------------------------------  ------  --  --------  -------------------------------------------------------------------------------------------------------------------------------------------------------
1  2026-09-18 12:50:21.721178+00  Fmmsell10  KXCS2GAME-26SEP180600NAVIMOUZ-NAVI      no      94  filled    -                                                                                                                                                      
1  2026-09-18 11:35:16.984593+00  Fmmsell10  KXWTI-26SEP1814-T98.99                  no      94  filled    -                                                                                                                                                      
1  2026-09-18 09:32:59.326608+00  Fmmsell10  KXNASDAQ100U-26SEP18H1600-T29869.99     no      93  resting   -                                                                                                                                                      
1  2026-09-18 09:32:36.0659+00    Fmmsell10  KXITFWMATCH-26SEP18OKTPAO-PAO           no      93  rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}
1  2026-09-18 09:02:04.837634+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB         no      93  canceled  timeout                                                                                                                                                
1  2026-09-18 09:01:59.267298+00  Fmmsell10  KXWTACHALLENGERMATCH-26SEP17SOBSAM-SOB  no      94  filled    -                                                                                                                                                      
1  2026-09-18 06:46:04.493317+00  Fmmsell10  KXITFMATCH-26SEP18DUHHUR-DUH            no      93  filled    -                                                                                                                                                      
1  2026-09-18 06:00:04.793171+00  Alimm1     KXUSLEI-26SEP18-T0.2                    yes     5   filled    -                                                                                                                                                      
1  2026-09-18 04:42:55.688979+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB         no      93  canceled  timeout                                                                                                                                                
1  2026-09-18 04:12:07.925825+00  Fmmsell10  KXITFMATCH-26SEP17TANFER-TAN            no      93  filled    -                                                                                                                                                      
1  2026-09-18 03:39:46.694407+00  Fmmsell10  KXWNBASPREAD-26SEP17PHXPDX-PDX12        no      93  canceled  -                                                                                                                                                      
2  2026-09-18 13:10:21.39851+00   pos        KXBIGGESTQUAKE-17SEP26-7.0              1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 13:10:21.396674+00  pos        KXBIGGESTQUAKE-17SEP26-6.8              1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 13:10:21.394938+00  pos        KXUSLEI-26SEP18-T0.2                    5.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 13:07:49.230921+00  pos        KXBIGGESTQUAKE-17SEP26-7.0              1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 13:07:49.229136+00  pos        KXBIGGESTQUAKE-17SEP26-6.8              1.0000  1   0.0000    -                                                                                                                                                      
2  2026-09-18 13:07:49.22719+00   pos        KXUSLEI-26SEP18-T0.2                    5.0000  1   0.0000    -                                                                                                                                                      

(17 rows)
