# ops request [READ]
# type=db  id=limm-watch-14
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T15:46:11Z
g  t                              c2         c3                                  c4      c5  c6        c7
-  -----------------------------  ---------  ----------------------------------  ------  --  --------  --
1  2026-09-18 14:48:49.863864+00  Alimm1     KXTRUMPAPPROVE-26SEP18-E39.4        yes     1   filled    - 
1  2026-09-18 14:25:11.848942+00  Fmmsell10  KXITFWMATCH-26SEP18BRINAH-NAH       no      93  canceled  - 
1  2026-09-18 14:24:56.438884+00  Fmmsell10  KXITFMATCH-26SEP18DECCAC-DEC        no      93  filled    - 
1  2026-09-18 13:53:55.288299+00  Fmmsell10  KXRAIN-26SEP18-DC                   no      94  filled    - 
1  2026-09-18 13:22:05.051977+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB     no      93  filled    - 
1  2026-09-18 12:50:21.721178+00  Fmmsell10  KXCS2GAME-26SEP180600NAVIMOUZ-NAVI  no      94  filled    - 
1  2026-09-18 11:35:16.984593+00  Fmmsell10  KXWTI-26SEP1814-T98.99              no      94  filled    - 
2  2026-09-18 15:43:10.57179+00   pos        KXBIGGESTQUAKE-17SEP26-7.0          1.0000  1   0.0000    - 
2  2026-09-18 15:43:10.569909+00  pos        KXBIGGESTQUAKE-17SEP26-6.8          1.0000  1   0.0000    - 
2  2026-09-18 15:40:36.723499+00  pos        KXBIGGESTQUAKE-17SEP26-7.0          1.0000  1   0.0000    - 
2  2026-09-18 15:40:36.721673+00  pos        KXBIGGESTQUAKE-17SEP26-6.8          1.0000  1   0.0000    - 
2  2026-09-18 15:37:59.775926+00  pos        KXBIGGESTQUAKE-17SEP26-7.0          1.0000  1   0.0000    - 
2  2026-09-18 15:37:59.774013+00  pos        KXBIGGESTQUAKE-17SEP26-6.8          1.0000  1   0.0000    - 

(13 rows)
