# ops request [READ]
# type=db  id=limm-watch-15
# code 89c193491d8b3e010a1d4e0e2c2f91ff78376a6f · started 2026-09-18T18:21:21Z
g  t                              c2         c3                                   c4   c5  c6        c7    
-  -----------------------------  ---------  -----------------------------------  ---  --  --------  ------
1  2026-09-18 18:21:03.428944+00  Alimm1     KXRT-RES-94                          no   10  resting   -     
1  2026-09-18 18:07:41.254369+00  Fmmsell10  KXCS2GAME-26SEP181100AURNRG-NRG      no   91  filled    -     
1  2026-09-18 17:37:13.694659+00  Fmmsell10  KXLOLMAP-26SEP181100MKOINAVI-3-NAVI  no   93  filled    -     
1  2026-09-18 17:36:35.732676+00  Fmmsell10  KXWTAMATCH-26SEP18KOSQUE-KOS         no   91  filled    -     
1  2026-09-18 17:33:50.712585+00  Alimm1     KXRT-RES-93                          no   3   resting   -     
1  2026-09-18 14:48:49.863864+00  Alimm1     KXTRUMPAPPROVE-26SEP18-E39.4         yes  1   filled    -     
1  2026-09-18 14:25:11.848942+00  Fmmsell10  KXITFWMATCH-26SEP18BRINAH-NAH        no   93  canceled  -     
1  2026-09-18 14:24:56.438884+00  Fmmsell10  KXITFMATCH-26SEP18DECCAC-DEC         no   93  filled    -     
1  2026-09-18 13:53:55.288299+00  Fmmsell10  KXRAIN-26SEP18-DC                    no   94  filled    -     
1  2026-09-18 13:22:05.051977+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB      no   93  filled    -     
1  2026-09-18 12:50:21.721178+00  Fmmsell10  KXCS2GAME-26SEP180600NAVIMOUZ-NAVI   no   94  filled    -     
1  2026-09-18 11:35:16.984593+00  Fmmsell10  KXWTI-26SEP1814-T98.99               no   94  filled    -     
2  2026-09-18 18:19:30.847984+00  pos        KXBIGGESTQUAKE-17SEP26-7.0           yes  1   0.0000    0.0100
2  2026-09-18 18:19:30.846056+00  pos        KXBIGGESTQUAKE-17SEP26-6.8           yes  1   0.0000    0.0100
2  2026-09-18 18:16:57.96903+00   pos        KXBIGGESTQUAKE-17SEP26-7.0           yes  1   0.0000    0.0100
2  2026-09-18 18:16:57.967249+00  pos        KXBIGGESTQUAKE-17SEP26-6.8           yes  1   0.0000    0.0100
2  2026-09-18 18:14:14.872741+00  pos        KXBIGGESTQUAKE-17SEP26-7.0           yes  1   0.0000    0.0100
2  2026-09-18 18:14:14.870876+00  pos        KXBIGGESTQUAKE-17SEP26-6.8           yes  1   0.0000    0.0100
2  2026-09-18 18:11:41.404543+00  pos        KXBIGGESTQUAKE-17SEP26-7.0           yes  1   0.0000    0.0100
2  2026-09-18 18:11:41.402755+00  pos        KXBIGGESTQUAKE-17SEP26-6.8           yes  1   0.0000    0.0100

(20 rows)
