# ops request [READ]
# type=db  id=limm-watch-17
# code 5ea57bd3ac1d708da07ddeb52cbfbabc16a62ef7 · started 2026-09-18T22:30:20Z
g  t                              b       c                             d    e   f        h         i                     
-  -----------------------------  ------  ----------------------------  ---  --  -------  --------  ----------------------
1  2026-09-18 18:21:03.428944+00  Alimm1  KXRT-RES-94                   no   10  1        filled    KXRT-RES              
1  2026-09-18 17:33:50.712585+00  Alimm1  KXRT-RES-93                   no   3   1        filled    KXRT-RES              
1  2026-09-18 14:48:49.863864+00  Alimm1  KXTRUMPAPPROVE-26SEP18-E39.4  yes  1   1        filled    KXTRUMPAPPROVE-26SEP18
1  2026-09-18 06:00:04.793171+00  Alimm1  KXUSLEI-26SEP18-T0.2          yes  5   1        filled    KXUSLEI-26SEP18       
1  2026-09-18 00:08:31.254676+00  Alimm1  KXAAAGASDAZ-26SEP18-4.6800    yes  1   1        canceled  KXAAAGASDAZ-26SEP18   
1  2026-09-17 20:04:28.435148+00  Alimm1  KXYTVIEWSHIGH-POS26OCT-8.75M  yes  4   1        canceled  KXYTVIEWSHIGH-POS26OCT
1  2026-09-17 20:04:27.804563+00  Alimm1  KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1        filled    KXBIGGESTQUAKE-17SEP26
1  2026-09-17 20:04:27.108789+00  Alimm1  KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1        filled    KXBIGGESTQUAKE-17SEP26
2  2026-09-18 22:27:16.621641+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000    0.0100                
2  2026-09-18 22:27:16.617884+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1.0000   0.0000    0.0100                
2  2026-09-18 22:27:16.603466+00  pos     KXRT-RES-97                   no   -1  93.0000  0.0000    0.9300                
2  2026-09-18 22:27:16.594902+00  pos     KXRT-RES-94                   no   -1  10.0000  0.0000    0.1000                
2  2026-09-18 22:27:16.591781+00  pos     KXRT-RES-93                   no   -1  3.0000   0.0000    0.0300                
2  2026-09-18 22:24:28.182337+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000    0.0100                
2  2026-09-18 22:24:28.179417+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1.0000   0.0000    0.0100                
2  2026-09-18 22:24:28.16443+00   pos     KXRT-RES-97                   no   -1  93.0000  0.0000    0.9300                

(16 rows)
