# ops request [READ]
# type=db  id=limm-watch-20
# code 95f66108b79dbdebdc96e630812786849a1f5c38 · started 2026-09-19T02:36:09Z
g  t                              b        c                             d      e   f        h                                                                                                               
-  -----------------------------  -------  ----------------------------  -----  --  -------  ----------------------------------------------------------------------------------------------------------------
1  2026-09-18 18:21:03.428944+00  Alimm1   KXRT-RES-94                   no     10  1        filled                                                                                                          
1  2026-09-18 17:33:50.712585+00  Alimm1   KXRT-RES-93                   no     3   1        filled                                                                                                          
1  2026-09-18 14:48:49.863864+00  Alimm1   KXTRUMPAPPROVE-26SEP18-E39.4  yes    1   1        filled                                                                                                          
1  2026-09-18 06:00:04.793171+00  Alimm1   KXUSLEI-26SEP18-T0.2          yes    5   1        filled                                                                                                          
1  2026-09-18 00:08:31.254676+00  Alimm1   KXAAAGASDAZ-26SEP18-4.6800    yes    1   1        canceled                                                                                                        
2  2026-09-19 02:33:59.680528+00  pos      KXBIGGESTQUAKE-17SEP26-7.0    yes    1   1.0000   0.0000                                                                                                          
2  2026-09-19 02:33:59.678495+00  pos      KXBIGGESTQUAKE-17SEP26-6.8    yes    1   1.0000   0.0000                                                                                                          
2  2026-09-19 02:33:59.669927+00  pos      KXRT-RES-97                   no     -1  93.0000  0.0000                                                                                                          
2  2026-09-19 02:33:59.668051+00  pos      KXRT-RES-94                   no     -1  10.0000  0.0000                                                                                                          
2  2026-09-19 02:33:59.666207+00  pos      KXRT-RES-93                   no     -1  3.0000   0.0000                                                                                                          
2  2026-09-19 02:30:03.547846+00  pos      KXBIGGESTQUAKE-17SEP26-7.0    yes    1   1.0000   0.0000                                                                                                          
3  2026-09-19 02:31:51.957428+00  evt      discovery                     -      -   -        {"new": 18, "gone": 12, "errors": 0, "listed": 35305, "changed": 0, "pinned_live": 4, "liquidity_current": 5335}
3  2026-09-19 02:26:50.847566+00  evt      discovery                     -      -   -        {"new": 0, "gone": 1, "errors": 0, "listed": 35299, "changed": 0, "pinned_live": 4, "liquidity_current": 5329}  
3  2026-09-19 02:21:51.737539+00  evt      discovery                     -      -   -        {"new": 27, "gone": 30, "errors": 0, "listed": 35300, "changed": 0, "pinned_live": 4, "liquidity_current": 5330}
4  2026-09-19 02:31:35.24051+00   paidout  paid_out                      29985  -   -        -                                                                                                               
4  2026-09-19 02:31:35.24051+00   paidout  active                        10197  -   -        -                                                                                                               

(16 rows)
