# ops request [READ]
# type=db  id=limm-watch-21
# code 82e3240bf821c010610610c25ec33d14e10d9a22 · started 2026-09-19T04:41:28Z
g  t                              b       c                             d    e   f        h                                                                                                             
-  -----------------------------  ------  ----------------------------  ---  --  -------  --------------------------------------------------------------------------------------------------------------
1  2026-09-18 18:21:03.428944+00  Alimm1  KXRT-RES-94                   no   10  1        filled                                                                                                        
1  2026-09-18 17:33:50.712585+00  Alimm1  KXRT-RES-93                   no   3   1        filled                                                                                                        
1  2026-09-18 14:48:49.863864+00  Alimm1  KXTRUMPAPPROVE-26SEP18-E39.4  yes  1   1        filled                                                                                                        
1  2026-09-18 06:00:04.793171+00  Alimm1  KXUSLEI-26SEP18-T0.2          yes  5   1        filled                                                                                                        
1  2026-09-18 00:08:31.254676+00  Alimm1  KXAAAGASDAZ-26SEP18-4.6800    yes  1   1        canceled                                                                                                      
2  2026-09-19 04:39:15.550245+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000                                                                                                        
2  2026-09-19 04:39:15.545678+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1.0000   0.0000                                                                                                        
2  2026-09-19 04:39:15.539902+00  pos     KXRT-RES-97                   no   -1  93.0000  0.0000                                                                                                        
2  2026-09-19 04:39:15.537279+00  pos     KXRT-RES-94                   no   -1  10.0000  0.0000                                                                                                        
2  2026-09-19 04:39:15.535304+00  pos     KXRT-RES-93                   no   -1  3.0000   0.0000                                                                                                        
2  2026-09-19 04:36:26.210291+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000                                                                                                        
3  2026-09-19 04:40:54.611445+00  evt     discovery                     -    -   -        {"new": 2, "gone": 1, "errors": 0, "listed": 34848, "changed": 0, "pinned_live": 4, "liquidity_current": 4878}
3  2026-09-19 04:35:53.877771+00  evt     discovery                     -    -   -        {"new": 2, "gone": 4, "errors": 0, "listed": 34847, "changed": 0, "pinned_live": 4, "liquidity_current": 4877}
3  2026-09-19 04:30:52.884399+00  evt     discovery                     -    -   -        {"new": 5, "gone": 6, "errors": 0, "listed": 34849, "changed": 0, "pinned_live": 4, "liquidity_current": 4879}
3  2026-09-19 04:25:52.423302+00  evt     discovery                     -    -   -        {"new": 6, "gone": 5, "errors": 0, "listed": 34850, "changed": 0, "pinned_live": 4, "liquidity_current": 4880}
3  2026-09-19 04:20:52.015314+00  evt     discovery                     -    -   -        {"new": 4, "gone": 1, "errors": 0, "listed": 34849, "changed": 0, "pinned_live": 4, "liquidity_current": 4879}

(16 rows)
