# ops request [READ]
# type=db  id=limm-watch-25
# code 82e3240bf821c010610610c25ec33d14e10d9a22 · started 2026-09-19T12:52:23Z
g  t                              b       c                             d    e   f        h       
-  -----------------------------  ------  ----------------------------  ---  --  -------  --------
1  2026-09-18 18:21:03.428944+00  Alimm1  KXRT-RES-94                   no   10  1        filled  
1  2026-09-18 17:33:50.712585+00  Alimm1  KXRT-RES-93                   no   3   1        filled  
1  2026-09-18 14:48:49.863864+00  Alimm1  KXTRUMPAPPROVE-26SEP18-E39.4  yes  1   1        filled  
1  2026-09-18 06:00:04.793171+00  Alimm1  KXUSLEI-26SEP18-T0.2          yes  5   1        filled  
2  2026-09-19 12:49:55.71107+00   pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000  
2  2026-09-19 12:49:55.709616+00  pos     KXBIGGESTQUAKE-17SEP26-6.8    yes  1   1.0000   0.0000  
2  2026-09-19 12:49:55.704406+00  pos     KXRT-RES-97                   no   -1  93.0000  0.0000  
2  2026-09-19 12:49:55.702901+00  pos     KXRT-RES-94                   no   -1  10.0000  0.0000  
2  2026-09-19 12:49:55.701529+00  pos     KXRT-RES-93                   no   -1  3.0000   0.0000  
2  2026-09-19 12:47:26.717363+00  pos     KXBIGGESTQUAKE-17SEP26-7.0    yes  1   1.0000   0.0000  
3  2026-09-19 12:28:19.058244+00  mmsell  Fmmsell10                     no   91  1        filled  
3  2026-09-19 10:19:40.851257+00  mmsell  Fmmsell10                     no   91  1        canceled

(12 rows)
