# ops request [READ]
# type=db  id=limm-watch-3
# code dc8864849efe85fc9d10cb40d5c69e69a2412a9d · started 2026-09-18T00:26:00Z
created_at                        market_ticker                 side  price  qty  status    cancel_reason  other_books
--------------------------------  ----------------------------  ----  -----  ---  --------  -------------  -----------
2026-09-18 00:08:31.254676+00:00  KXAAAGASDAZ-26SEP18-4.6800    yes   1      1    resting   -              0          
2026-09-17 20:04:28.435148+00:00  KXYTVIEWSHIGH-POS26OCT-8.75M  yes   4      1    canceled  timeout        0          
2026-09-17 20:04:27.804563+00:00  KXBIGGESTQUAKE-17SEP26-7.0    yes   1      1    filled    -              0          
2026-09-17 20:04:27.108789+00:00  KXBIGGESTQUAKE-17SEP26-6.8    yes   1      1    filled    -              0          
2026-09-17 16:00:47.920037+00:00  KXHORMUZPEAK-26SEP20-T20      yes   3      1    canceled  timeout        0          
2026-09-17 16:00:47.221295+00:00  KXHORMUZPEAK-26SEP20-T30      yes   1      1    canceled  timeout        0          
2026-09-17 16:00:46.645547+00:00  KXHORMUZPEAK-26SEP20-T25      yes   1      1    canceled  timeout        0          

(7 rows)
